#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_024964445.1	1227261.HMPREF0043_00864	1.5e-44	144.0	COG0361@1|root,COG0361@2|Bacteria,2IQ4B@201174|Actinobacteria,4D676@85005|Actinomycetales	201174|Actinobacteria	J	One of the essential components for the initiation of protein synthesis. Stabilizes the binding of IF-2 and IF-3 on the 30S subunit to which N-formylmethionyl-tRNA(fMet) subsequently binds. Helps modulate mRNA selection, yielding the 30S pre- initiation complex (PIC). Upon addition of the 50S ribosomal subunit IF-1, IF-2 and IF-3 are released leaving the mature 70S translation initation complex	infA	-	-	ko:K02518	-	-	-	-	ko00000,ko03012	-	-	-	eIF-1a
WP_024964738.1	644284.Arch_1086	5.51e-38	127.0	COG0227@1|root,COG0227@2|Bacteria,2GQNU@201174|Actinobacteria,4D6AF@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	GO:0003674,GO:0003735,GO:0005198	-	ko:K02902	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L28
WP_038101627.1	644284.Arch_1317	2.53e-55	177.0	COG0454@1|root,COG0456@2|Bacteria,2IMVD@201174|Actinobacteria,4D5W9@85005|Actinomycetales	201174|Actinobacteria	K	(GNAT) family	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_1
WP_038101734.1	1219585.HMPREF1631_05465	1.02e-40	135.0	COG0238@1|root,COG0238@2|Bacteria,2IQ92@201174|Actinobacteria,4D66K@85005|Actinomycetales	201174|Actinobacteria	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit	rpsR	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02963	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S18
WP_062613548.1	1219585.HMPREF1631_04130	1.39e-81	243.0	COG0102@1|root,COG0102@2|Bacteria,2IFG1@201174|Actinobacteria,4D37G@85005|Actinomycetales	201174|Actinobacteria	J	This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly	rplM	GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0019538,GO:0022625,GO:0022626,GO:0030312,GO:0032991,GO:0034641,GO:0034645,GO:0040007,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02871	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L13
WP_065415356.1	662755.CRES_0868	7.72e-97	283.0	COG4824@1|root,COG4824@2|Bacteria,2HMKG@201174|Actinobacteria,22Q50@1653|Corynebacteriaceae	201174|Actinobacteria	S	Bacteriophage holin family	-	-	-	-	-	-	-	-	-	-	-	-	Phage_holin_4_1
WP_129288858.1	548479.HMPREF0573_10075	3.79e-37	130.0	2DFZH@1|root,2ZTUZ@2|Bacteria,2GTBP@201174|Actinobacteria,4D6FK@85005|Actinomycetales	201174|Actinobacteria	S	PrgI family protein	-	-	-	-	-	-	-	-	-	-	-	-	PrgI
WP_129288860.1	644284.Arch_1692	1.23e-74	236.0	2B0U3@1|root,31T6M@2|Bacteria,2IDXF@201174|Actinobacteria,4D5Z5@85005|Actinomycetales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	TrbL
WP_129288872.1	644284.Arch_1680	6.7e-19	82.4	2ASYU@1|root,31IEF@2|Bacteria,2GXU6@201174|Actinobacteria,4D7MT@85005|Actinomycetales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_129546581.1	1321775.HMPREF1980_01260	6.83e-31	113.0	2E2VU@1|root,32XXB@2|Bacteria,2GSN6@201174|Actinobacteria,4D5R6@85005|Actinomycetales	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	DUF2651
WP_167801235.1	1219585.HMPREF1631_06830	4.97e-64	199.0	COG0228@1|root,COG0228@2|Bacteria,2IKU0@201174|Actinobacteria,4D5N7@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bS16 family	rpsP	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0005886,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016020,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044446,GO:0044464,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02959	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011,ko03029	-	-	-	Ribosomal_S16
WP_167801236.1	644284.Arch_0569	3.55e-43	141.0	COG1837@1|root,COG1837@2|Bacteria,2IQ4C@201174|Actinobacteria,4D66F@85005|Actinomycetales	201174|Actinobacteria	S	Belongs to the UPF0109 family	-	GO:0008150,GO:0040007	-	ko:K06960	-	-	-	-	ko00000	-	-	-	KH_4
WP_193325880.1	644284.Arch_0734	1.67e-114	347.0	COG2211@1|root,COG2211@2|Bacteria,2I6B2@201174|Actinobacteria,4D88S@85005|Actinomycetales	201174|Actinobacteria	G	Major Facilitator	-	-	-	-	-	-	-	-	-	-	-	-	MFS_1
WP_193325881.1	644284.Arch_0733	1.73e-94	283.0	2AUFS@1|root,2ZA62@2|Bacteria,2I87X@201174|Actinobacteria,4D8CJ@85005|Actinomycetales	201174|Actinobacteria	S	Domain of unknown function (DUF4191)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4191
WP_193325882.1	644284.Arch_0732	5.84e-278	767.0	COG0174@1|root,COG0174@2|Bacteria,2GMN1@201174|Actinobacteria,4D47X@85005|Actinomycetales	201174|Actinobacteria	E	glutamine synthetase	glnA	GO:0001968,GO:0003674,GO:0003824,GO:0004356,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006520,GO:0006541,GO:0006542,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009405,GO:0009605,GO:0009607,GO:0009893,GO:0009987,GO:0010468,GO:0010604,GO:0010628,GO:0010755,GO:0010756,GO:0010954,GO:0016020,GO:0016053,GO:0016211,GO:0016874,GO:0016879,GO:0016880,GO:0019222,GO:0019752,GO:0019899,GO:0020012,GO:0030162,GO:0030312,GO:0030682,GO:0031323,GO:0031325,GO:0032268,GO:0032270,GO:0035375,GO:0040007,GO:0043207,GO:0043436,GO:0044044,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044403,GO:0044413,GO:0044415,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045862,GO:0046394,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051832,GO:0051834,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0060255,GO:0065007,GO:0070613,GO:0071704,GO:0071944,GO:0075136,GO:0080090,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1903317,GO:1903319	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	Gln-synt_C,Gln-synt_N
WP_193325883.1	883067.HMPREF9237_01446	0.0	900.0	COG3055@1|root,COG4409@1|root,COG3055@2|Bacteria,COG4409@2|Bacteria,2GUR0@201174|Actinobacteria	201174|Actinobacteria	G	BNR repeat-like domain	-	-	-	-	-	-	-	-	-	-	-	-	BNR_2,Big_2,DUF4091,Laminin_G_3
WP_193325884.1	1403948.Q618_VCMC00003G0438	0.0	951.0	COG3525@1|root,COG5604@1|root,COG3525@2|Bacteria,COG5604@2|Bacteria,2GK90@201174|Actinobacteria,4D4HX@85005|Actinomycetales	201174|Actinobacteria	G	Glycosyl hydrolase family 20, catalytic domain	-	-	3.2.1.52	ko:K12373	ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,map00511,map00513,map00520,map00531,map00603,map00604,map01100,map04142	M00079	R00022,R06004,R11316	RC00049	ko00000,ko00001,ko00002,ko01000,ko03110	-	GH20	-	F5_F8_type_C,Glyco_hydro_20,Glyco_hydro_20b,NPCBM_assoc,RicinB_lectin_2
WP_193325885.1	1111131.HMPREF1255_1819	4.6e-218	606.0	COG3547@1|root,COG3547@2|Bacteria,2GS79@201174|Actinobacteria,4DUSE@85009|Propionibacteriales	201174|Actinobacteria	L	Transposase	-	-	-	-	-	-	-	-	-	-	-	-	DEDD_Tnp_IS110,Transposase_20
WP_193325886.1	644284.Arch_0731	3.19e-57	186.0	COG0406@1|root,COG0406@2|Bacteria,2GP71@201174|Actinobacteria,4D364@85005|Actinomycetales	201174|Actinobacteria	G	phosphoglycerate mutase	lpqD	GO:0000287,GO:0001666,GO:0003674,GO:0003824,GO:0004619,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009628,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016866,GO:0016868,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0030312,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0036293,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046939,GO:0050896,GO:0051186,GO:0051188,GO:0055086,GO:0070482,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576	-	-	-	-	-	-	-	-	-	-	His_Phos_1
WP_193325888.1	1219585.HMPREF1631_01410	1.21e-215	607.0	COG0174@1|root,COG0174@2|Bacteria,2GJ2I@201174|Actinobacteria,4D37A@85005|Actinomycetales	201174|Actinobacteria	E	glutamine synthetase	glnA2	GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016787,GO:0016810,GO:0016811,GO:0044464,GO:0050001,GO:0071944	6.3.1.2	ko:K01915	ko00220,ko00250,ko00630,ko00910,ko01100,ko01120,ko01230,ko02020,ko04217,ko04724,ko04727,map00220,map00250,map00630,map00910,map01100,map01120,map01230,map02020,map04217,map04724,map04727	-	R00253	RC00010,RC02798	ko00000,ko00001,ko01000,ko04147	-	-	-	Gln-synt_C,Gln-synt_N
WP_193325890.1	1219585.HMPREF1631_01420	1.89e-183	514.0	COG0024@1|root,COG0024@2|Bacteria,2GKIZ@201174|Actinobacteria,4D3BP@85005|Actinomycetales	201174|Actinobacteria	E	Methionine aminopeptidase	map	GO:0000096,GO:0003674,GO:0003824,GO:0004177,GO:0005488,GO:0005506,GO:0006082,GO:0006464,GO:0006508,GO:0006520,GO:0006555,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008235,GO:0008237,GO:0008238,GO:0009066,GO:0009987,GO:0010467,GO:0016151,GO:0016485,GO:0016787,GO:0019538,GO:0019752,GO:0030145,GO:0035551,GO:0036211,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044281,GO:0046872,GO:0046914,GO:0050897,GO:0051604,GO:0070006,GO:0070011,GO:0070084,GO:0071704,GO:0140096,GO:1901564,GO:1901605	3.4.11.18	ko:K01265	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_M24
WP_193325891.1	1219585.HMPREF1631_01425	9.45e-110	323.0	COG1940@1|root,COG1940@2|Bacteria,2GJA0@201174|Actinobacteria,4D3CV@85005|Actinomycetales	201174|Actinobacteria	GK	cog cog1940	ppgK	-	2.7.1.2,2.7.1.63	ko:K00845,ko:K00886	ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200	M00001,M00549	R00299,R01600,R01786,R02187,R02189	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	-	ROK
WP_193325892.1	644284.Arch_0725	3.05e-78	244.0	COG3022@1|root,COG3022@2|Bacteria,2GJPM@201174|Actinobacteria,4D458@85005|Actinomycetales	201174|Actinobacteria	S	Belongs to the UPF0246 family	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0033194,GO:0042221,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:1901700	-	ko:K09861	-	-	-	-	ko00000	-	-	-	H2O2_YaaD
WP_193325893.1	644284.Arch_0724	7.48e-70	221.0	COG1579@1|root,COG1579@2|Bacteria,2GP84@201174|Actinobacteria,4D32J@85005|Actinomycetales	201174|Actinobacteria	S	Psort location Cytoplasmic, score	-	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944	-	ko:K07164	-	-	-	-	ko00000	-	-	-	zf-RING_7
WP_193325894.1	644284.Arch_0723	2.08e-129	374.0	COG0327@1|root,COG0327@2|Bacteria,2GKHZ@201174|Actinobacteria,4D4IT@85005|Actinomycetales	201174|Actinobacteria	S	Dinuclear metal center protein, YbgI family	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464	-	-	-	-	-	-	-	-	-	-	NIF3
WP_193325895.1	1150399.AQYK01000001_gene193	6.05e-17	80.1	COG0239@1|root,COG0239@2|Bacteria,2HGG9@201174|Actinobacteria,4FPP3@85023|Microbacteriaceae	201174|Actinobacteria	D	Important for reducing fluoride concentration in the cell, thus reducing its toxicity	-	-	-	ko:K06199	-	-	-	-	ko00000,ko02000	1.A.43.1,1.A.43.2,1.A.43.3	-	-	CRCB
WP_193325896.1	1122933.JNIY01000003_gene227	4.16e-21	89.0	COG0239@1|root,COG0239@2|Bacteria,2IKWG@201174|Actinobacteria,4F1HV@85016|Cellulomonadaceae	201174|Actinobacteria	D	Important for reducing fluoride concentration in the cell, thus reducing its toxicity	crcB	-	-	ko:K06199	-	-	-	-	ko00000,ko02000	1.A.43.1,1.A.43.2,1.A.43.3	-	-	CRCB
WP_193325897.1	1123065.ATWL01000007_gene3315	6.33e-30	128.0	COG1523@1|root,COG1523@2|Bacteria,2I2GM@201174|Actinobacteria	201174|Actinobacteria	G	Belongs to the glycosyl hydrolase 13 family	pulA	-	3.2.1.41,3.2.1.68	ko:K01200,ko:K01214	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R02111,R09995,R11261	-	ko00000,ko00001,ko00002,ko01000	-	CBM48,GH13	-	Alpha-amylase,CBM_48,CW_binding_1,DUF3372,PUD
