#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
WP_091281421.1	644284.Arch_0881	5.13e-42	138.0	COG1314@1|root,COG1314@2|Bacteria,2GR31@201174|Actinobacteria,4D67H@85005|Actinomycetales	201174|Actinobacteria	U	Preprotein translocase SecG subunit	secG	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K03075	ko02024,ko03060,ko03070,map02024,map03060,map03070	M00335	-	-	ko00000,ko00001,ko00002,ko02044	3.A.5.1,3.A.5.2	-	-	SecG
WP_091282028.1	1123488.ATUF01000002_gene712	5.75e-145	419.0	COG0614@1|root,COG0614@2|Bacteria,2I8FC@201174|Actinobacteria,4D52W@85005|Actinomycetales	201174|Actinobacteria	P	Periplasmic binding protein	-	-	-	ko:K02016	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.14	-	-	Peripla_BP_2
WP_091282091.1	644284.Arch_0599	1.69e-75	226.0	COG1188@1|root,COG1188@2|Bacteria,2IQ6F@201174|Actinobacteria,4D5TZ@85005|Actinomycetales	201174|Actinobacteria	J	S4 domain protein	hslR	-	-	ko:K04762	-	-	-	-	ko00000,ko03110	-	-	-	S4
WP_091282213.1	644284.Arch_0537	4.92e-18	75.1	COG0257@1|root,COG0257@2|Bacteria,2GWN0@201174|Actinobacteria,4D6QX@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the bacterial ribosomal protein bL36 family	rpmJ	-	-	ko:K02919	ko03010,map03010	M00178	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L36
WP_168917162.1	644284.Arch_0187	7.49e-75	225.0	COG0494@1|root,COG0494@2|Bacteria,2I2GY@201174|Actinobacteria	201174|Actinobacteria	L	NUDIX hydrolase	mutT	-	3.6.1.55	ko:K03574	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	NUDIX
WP_168917163.1	888050.HMPREF9004_0544	1.98e-177	518.0	2DBH4@1|root,2Z97J@2|Bacteria,2I8MI@201174|Actinobacteria	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP_168917164.1	742818.HMPREF9451_00667	6.11e-67	213.0	2B2CP@1|root,31UX3@2|Bacteria,2HWAW@201174|Actinobacteria,4CY6X@84998|Coriobacteriia	84998|Coriobacteriia	S	Eco47II restriction endonuclease	-	-	-	-	-	-	-	-	-	-	-	-	RE_Eco47II
WP_168917165.1	1232436.CAPF01000038_gene1169	1.44e-211	594.0	COG0270@1|root,COG0270@2|Bacteria,2GJR6@201174|Actinobacteria,4CVX7@84998|Coriobacteriia	84998|Coriobacteriia	H	Psort location Cytoplasmic, score 8.87	-	-	2.1.1.37	ko:K00558	ko00270,ko01100,ko05206,map00270,map01100,map05206	M00035	R04858	RC00003,RC00332	ko00000,ko00001,ko00002,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_methylase,HTH_17
WP_168917335.1	644284.Arch_0389	1.2e-242	669.0	COG0180@1|root,COG0180@2|Bacteria,2GJ9A@201174|Actinobacteria,4D3P9@85005|Actinomycetales	201174|Actinobacteria	J	Belongs to the class-I aminoacyl-tRNA synthetase family	trpS	-	6.1.1.2	ko:K01867	ko00970,map00970	M00359,M00360	R03664	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016	-	-	-	tRNA-synt_1b
WP_168917337.1	645127.ckrop_0056	1.3e-112	346.0	COG0577@1|root,COG0577@2|Bacteria	2|Bacteria	V	efflux transmembrane transporter activity	-	-	-	ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	FtsX,MacB_PCD
WP_168917520.1	644284.Arch_0625	2.61e-213	599.0	COG0577@1|root,COG0577@2|Bacteria,2GIRW@201174|Actinobacteria,4D47Y@85005|Actinomycetales	201174|Actinobacteria	V	Efflux ABC transporter, permease protein	-	-	-	ko:K02004	-	M00258	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	FtsX,MacB_PCD
WP_168918438.1	644284.Arch_1695	6.79e-79	234.0	2DFZH@1|root,2ZTUZ@2|Bacteria,2GTBP@201174|Actinobacteria,4D6FK@85005|Actinomycetales	201174|Actinobacteria	S	PrgI family protein	-	-	-	-	-	-	-	-	-	-	-	-	PrgI
WP_197672575.1	1121933.AUHH01000005_gene3409	5.04e-34	122.0	COG2259@1|root,COG2259@2|Bacteria	2|Bacteria	S	methylamine metabolic process	-	-	-	ko:K15977	-	-	-	-	ko00000	-	-	-	DoxX
WP_204422960.1	644284.Arch_0879	5.59e-159	452.0	COG4974@1|root,COG4974@2|Bacteria,2GNDP@201174|Actinobacteria,4D3G2@85005|Actinomycetales	201174|Actinobacteria	D	Belongs to the 'phage' integrase family. XerC subfamily	xerD	GO:0008150,GO:0040007	-	ko:K03733,ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_int_SAM_1,Phage_integrase
WP_204422961.1	644284.Arch_0880	0.0	1185.0	COG0021@1|root,COG0021@2|Bacteria,2GJ1K@201174|Actinobacteria,4D38G@85005|Actinomycetales	201174|Actinobacteria	G	Belongs to the transketolase family	tkt	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
WP_204422962.1	644284.Arch_0882	2.77e-175	489.0	COG0149@1|root,COG0149@2|Bacteria,2GJXZ@201174|Actinobacteria,4D3F0@85005|Actinomycetales	201174|Actinobacteria	G	Involved in the gluconeogenesis. Catalyzes stereospecifically the conversion of dihydroxyacetone phosphate (DHAP) to D-glyceraldehyde-3-phosphate (G3P)	tpiA	GO:0003674,GO:0003824,GO:0004807,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005996,GO:0006006,GO:0006066,GO:0006071,GO:0006081,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016853,GO:0016860,GO:0016861,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019400,GO:0019405,GO:0019438,GO:0019439,GO:0019563,GO:0019637,GO:0019682,GO:0019693,GO:0019751,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0040007,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044275,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046164,GO:0046166,GO:0046174,GO:0046184,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616	5.3.1.1	ko:K01803	ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003	R01015	RC00423	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	TIM
WP_204422964.1	644284.Arch_0883	2.09e-253	699.0	COG0126@1|root,COG0126@2|Bacteria,2GJC6@201174|Actinobacteria,4D3JI@85005|Actinomycetales	201174|Actinobacteria	F	Belongs to the phosphoglycerate kinase family	pgk	GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0016020,GO:0040007,GO:0044424,GO:0044464,GO:0071944	2.7.2.3,5.3.1.1	ko:K00927,ko:K01803	ko00010,ko00051,ko00562,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00051,map00562,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01015,R01512	RC00002,RC00043,RC00423	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	PGK
WP_204422967.1	644284.Arch_0884	2.98e-224	620.0	COG0057@1|root,COG0057@2|Bacteria,2GJK4@201174|Actinobacteria,4D318@85005|Actinomycetales	201174|Actinobacteria	G	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	gap	GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0008150,GO:0008152,GO:0016491,GO:0016620,GO:0016903,GO:0036094,GO:0043891,GO:0048037,GO:0050662,GO:0051287,GO:0055114,GO:0097159,GO:1901265,GO:1901363	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	-	Gp_dh_C,Gp_dh_N
WP_204422969.1	644284.Arch_0885	1.07e-203	567.0	COG1481@1|root,COG1481@2|Bacteria,2GJZU@201174|Actinobacteria,4D3YE@85005|Actinomycetales	201174|Actinobacteria	K	May be required for sporulation	whiA	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0043937,GO:0044464,GO:0050789,GO:0050793,GO:0065007,GO:0071944	-	ko:K09762	-	-	-	-	ko00000	-	-	-	HTH_WhiA,LAGLIDADG_WhiA,WhiA_N
WP_204422971.1	644284.Arch_0886	7.66e-160	456.0	COG0391@1|root,COG0391@2|Bacteria,2GJBW@201174|Actinobacteria,4D4A3@85005|Actinomycetales	201174|Actinobacteria	S	Required for morphogenesis under gluconeogenic growth conditions	-	-	-	-	-	-	-	-	-	-	-	-	UPF0052
WP_204422972.1	644284.Arch_0887	1.64e-193	540.0	COG1660@1|root,COG1660@2|Bacteria,2GMWB@201174|Actinobacteria,4D3SA@85005|Actinomycetales	201174|Actinobacteria	S	Displays ATPase and GTPase activities	yvcJ	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K06958	-	-	-	-	ko00000,ko03019	-	-	-	ATP_bind_2
WP_204422973.1	1219585.HMPREF1631_01040	1.56e-285	802.0	COG0322@1|root,COG0322@2|Bacteria,2GIS4@201174|Actinobacteria,4D30X@85005|Actinomycetales	201174|Actinobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrC both incises the 5' and 3' sides of the lesion. The N-terminal half is responsible for the 3' incision and the C-terminal half is responsible for the 5' incision	uvrC	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005886,GO:0006950,GO:0006974,GO:0008150,GO:0009380,GO:0009987,GO:0016020,GO:0030312,GO:0032991,GO:0033554,GO:0040007,GO:0044424,GO:0044464,GO:0050896,GO:0051716,GO:0071944,GO:1902494,GO:1905347,GO:1905348,GO:1990391	-	ko:K03703	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	GIY-YIG,HHH_2,HHH_5,UVR,UvrC_HhH_N
WP_204422975.1	644284.Arch_0889	0.0	1762.0	COG0178@1|root,COG0178@2|Bacteria,2GJUV@201174|Actinobacteria,4D3K9@85005|Actinomycetales	201174|Actinobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA	GO:0000018,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006950,GO:0006974,GO:0008150,GO:0009892,GO:0009987,GO:0010605,GO:0016020,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031324,GO:0033554,GO:0044424,GO:0044444,GO:0044464,GO:0045910,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051052,GO:0051053,GO:0051171,GO:0051172,GO:0051716,GO:0060255,GO:0060542,GO:0060543,GO:0065007,GO:0071944,GO:0080090	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	ABC_tran
WP_204422978.1	644284.Arch_0890	1.93e-51	163.0	COG2350@1|root,COG2350@2|Bacteria,2GQTW@201174|Actinobacteria,4D5XS@85005|Actinomycetales	201174|Actinobacteria	S	YCII-related domain	-	-	-	ko:K09780	-	-	-	-	ko00000	-	-	-	YCII
