# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	6006	6572	-					tsaE		ACU19_RS00030	567		old_locus_tag=ACU19_00030
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	6006	6572	-	WP_049618663.1	WP_049618663.1		tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		ACU19_RS00030	567	188	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	6621	7907	-					alr		ACU19_RS00035	1287		old_locus_tag=ACU19_00035
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	6621	7907	-	WP_049618664.1	WP_049618664.1		alanine racemase	alr		ACU19_RS00035	1287	428	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	7891	9789	-							ACU19_RS00040	1899		old_locus_tag=ACU19_00040
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	7891	9789	-	WP_082159889.1	WP_082159889.1		bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase			ACU19_RS00040	1899	632	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	9856	11709	-					glmS		ACU19_RS00045	1854		old_locus_tag=ACU19_00045
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	9856	11709	-	WP_049618665.1	WP_049618665.1		glutamine--fructose-6-phosphate transaminase (isomerizing)	glmS		ACU19_RS00045	1854	617	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	11787	12731	+					coaA		ACU19_RS00050	945		old_locus_tag=ACU19_00050
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	11787	12731	+	WP_049618666.1	WP_049618666.1		type I pantothenate kinase	coaA		ACU19_RS00050	945	314	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	12770	14119	-					glmM		ACU19_RS00055	1350		old_locus_tag=ACU19_00055
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	12770	14119	-	WP_049618667.1	WP_049618667.1		phosphoglucosamine mutase	glmM		ACU19_RS00055	1350	449	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	14570	15058	-					rpsI		ACU19_RS00060	489		old_locus_tag=ACU19_00060
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	14570	15058	-	WP_049618668.1	WP_049618668.1		30S ribosomal protein S9	rpsI		ACU19_RS00060	489	162	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	15091	15534	-					rplM		ACU19_RS00065	444		old_locus_tag=ACU19_00065
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	15091	15534	-	WP_049618669.1	WP_049618669.1		50S ribosomal protein L13	rplM		ACU19_RS00065	444	147	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	15934	16929	-							ACU19_RS00070	996		old_locus_tag=ACU19_00070
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	15934	16929	-	WP_049618670.1	WP_049618670.1		tRNA pseudouridine synthase A			ACU19_RS00070	996	331	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	16928	17758	+							ACU19_RS00075	831		old_locus_tag=ACU19_00075
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	16928	17758	+	WP_049618671.1	WP_049618671.1		ROK family protein			ACU19_RS00075	831	276	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	18123	18698	-					rplQ		ACU19_RS00080	576		old_locus_tag=ACU19_00080
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	18123	18698	-	WP_049618672.1	WP_049618672.1		50S ribosomal protein L17	rplQ		ACU19_RS00080	576	191	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	18735	19724	-							ACU19_RS00085	990		old_locus_tag=ACU19_00085
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	18735	19724	-	WP_049618673.1	WP_049618673.1		DNA-directed RNA polymerase subunit alpha			ACU19_RS00085	990	329	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	19971	20369	-					rpsK		ACU19_RS00090	399		old_locus_tag=ACU19_00090
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	19971	20369	-	WP_049618674.1	WP_049618674.1		30S ribosomal protein S11	rpsK		ACU19_RS00090	399	132	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	20412	20783	-					rpsM		ACU19_RS00095	372		old_locus_tag=ACU19_00095
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	20412	20783	-	WP_049618675.1	WP_049618675.1		30S ribosomal protein S13	rpsM		ACU19_RS00095	372	123	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	20905	21024	-					rpmJ		ACU19_RS09795	120		
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	20905	21024	-	WP_074661360.1	WP_074661360.1		50S ribosomal protein L36	rpmJ		ACU19_RS09795	120	39	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	21043	21264	-					infA		ACU19_RS00100	222		old_locus_tag=ACU19_00100
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	21043	21264	-	WP_049618676.1	WP_049618676.1		translation initiation factor IF-1	infA		ACU19_RS00100	222	73	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	21509	22348	-					map		ACU19_RS00105	840		old_locus_tag=ACU19_00105
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	21509	22348	-	WP_049618677.1	WP_049618677.1		type I methionyl aminopeptidase	map		ACU19_RS00105	840	279	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	22601	23173	-							ACU19_RS00110	573		old_locus_tag=ACU19_00110
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	22601	23173	-	WP_049618678.1	WP_049618678.1		adenylate kinase			ACU19_RS00110	573	190	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	23290	24594	-					secY		ACU19_RS00115	1305		old_locus_tag=ACU19_00115
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	23290	24594	-	WP_049618679.1	WP_049618679.1		preprotein translocase subunit SecY	secY		ACU19_RS00115	1305	434	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25024	25503	-					rplO		ACU19_RS00120	480		old_locus_tag=ACU19_00120
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25024	25503	-	WP_049618680.1	WP_049618680.1		50S ribosomal protein L15	rplO		ACU19_RS00120	480	159	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25506	25685	-					rpmD		ACU19_RS00125	180		old_locus_tag=ACU19_00125
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25506	25685	-	WP_049618681.1	WP_049618681.1		50S ribosomal protein L30	rpmD		ACU19_RS00125	180	59	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25685	26392	-					rpsE		ACU19_RS00130	708		old_locus_tag=ACU19_00130
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	25685	26392	-	WP_049618682.1	WP_049618682.1		30S ribosomal protein S5	rpsE		ACU19_RS00130	708	235	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	26415	26786	-					rplR		ACU19_RS00135	372		old_locus_tag=ACU19_00135
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	26415	26786	-	WP_049618683.1	WP_049618683.1		50S ribosomal protein L18	rplR		ACU19_RS00135	372	123	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	26786	27322	-					rplF		ACU19_RS00140	537		old_locus_tag=ACU19_00140
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	26786	27322	-	WP_049618684.1	WP_049618684.1		50S ribosomal protein L6	rplF		ACU19_RS00140	537	178	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27338	27736	-					rpsH		ACU19_RS00145	399		old_locus_tag=ACU19_00145
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27338	27736	-	WP_049618685.1	WP_049618685.1		30S ribosomal protein S8	rpsH		ACU19_RS00145	399	132	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27795	27980	-							ACU19_RS09800	186		
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27795	27980	-	WP_074661381.1	WP_074661381.1		type Z 30S ribosomal protein S14			ACU19_RS09800	186	61	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27987	28532	-					rplE		ACU19_RS00150	546		old_locus_tag=ACU19_00150
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	27987	28532	-	WP_049618686.1	WP_049618686.1		50S ribosomal protein L5	rplE		ACU19_RS00150	546	181	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	28529	28873	-					rplX		ACU19_RS00155	345		old_locus_tag=ACU19_00155
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	28529	28873	-	WP_049618687.1	WP_049618687.1		50S ribosomal protein L24	rplX		ACU19_RS00155	345	114	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	28874	29242	-					rplN		ACU19_RS00160	369		old_locus_tag=ACU19_00160
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	28874	29242	-	WP_049618688.1	WP_049618688.1		50S ribosomal protein L14	rplN		ACU19_RS00160	369	122	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29352	29618	-					rpsQ		ACU19_RS00165	267		old_locus_tag=ACU19_00165
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29352	29618	-	WP_049618689.1	WP_049618689.1		30S ribosomal protein S17	rpsQ		ACU19_RS00165	267	88	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29627	29857	-					rpmC		ACU19_RS00170	231		old_locus_tag=ACU19_00170
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29627	29857	-	WP_049618690.1	WP_049618690.1		50S ribosomal protein L29	rpmC		ACU19_RS00170	231	76	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29857	30273	-					rplP		ACU19_RS00175	417		old_locus_tag=ACU19_00175
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	29857	30273	-	WP_049618691.1	WP_049618691.1		50S ribosomal protein L16	rplP		ACU19_RS00175	417	138	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	30277	31122	-					rpsC		ACU19_RS00180	846		old_locus_tag=ACU19_00180
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	30277	31122	-	WP_049618692.1	WP_049618692.1		30S ribosomal protein S3	rpsC		ACU19_RS00180	846	281	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31122	31514	-					rplV		ACU19_RS00185	393		old_locus_tag=ACU19_00185
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31122	31514	-	WP_049618693.1	WP_049618693.1		50S ribosomal protein L22	rplV		ACU19_RS00185	393	130	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31543	31824	-					rpsS		ACU19_RS00190	282		old_locus_tag=ACU19_00190
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31543	31824	-	WP_049618694.1	WP_049618694.1		30S ribosomal protein S19	rpsS		ACU19_RS00190	282	93	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31839	32675	-					rplB		ACU19_RS00195	837		old_locus_tag=ACU19_00195
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	31839	32675	-	WP_049618695.1	WP_049618695.1		50S ribosomal protein L2	rplB		ACU19_RS00195	837	278	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	32707	33012	-					rplW		ACU19_RS00200	306		old_locus_tag=ACU19_00200
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	32707	33012	-	WP_049618696.1	WP_049618696.1		50S ribosomal protein L23	rplW		ACU19_RS00200	306	101	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	33012	33656	-					rplD		ACU19_RS00205	645		old_locus_tag=ACU19_00205
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	33012	33656	-	WP_049618697.1	WP_049618697.1		50S ribosomal protein L4	rplD		ACU19_RS00205	645	214	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	33660	34325	-					rplC		ACU19_RS00210	666		old_locus_tag=ACU19_00210
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	33660	34325	-	WP_049618698.1	WP_049618698.1		50S ribosomal protein L3	rplC		ACU19_RS00210	666	221	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	34338	34646	-					rpsJ		ACU19_RS00215	309		old_locus_tag=ACU19_00215
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	34338	34646	-	WP_049618699.1	WP_049618699.1		30S ribosomal protein S10	rpsJ		ACU19_RS00215	309	102	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	34969	36159	-					tuf		ACU19_RS00220	1191		old_locus_tag=ACU19_00220
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	34969	36159	-	WP_049618700.1	WP_049618700.1		elongation factor Tu	tuf		ACU19_RS00220	1191	396	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	36268	38343	-					fusA		ACU19_RS00225	2076		old_locus_tag=ACU19_00225
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	36268	38343	-	WP_049618716.1	WP_049618716.1		elongation factor G	fusA		ACU19_RS00225	2076	691	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	38450	38920	-					rpsG		ACU19_RS00230	471		old_locus_tag=ACU19_00230
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	38450	38920	-	WP_049618701.1	WP_049618701.1		30S ribosomal protein S7	rpsG		ACU19_RS00230	471	156	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	38923	39294	-					rpsL		ACU19_RS00235	372		old_locus_tag=ACU19_00235
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	38923	39294	-	WP_049618702.1	WP_049618702.1		30S ribosomal protein S12	rpsL		ACU19_RS00235	372	123	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	39560	43573	-					rpoC		ACU19_RS00240	4014		old_locus_tag=ACU19_00240
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	39560	43573	-	WP_049618703.1	WP_049618703.1		DNA-directed RNA polymerase subunit beta'	rpoC		ACU19_RS00240	4014	1337	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	43668	47162	-					rpoB		ACU19_RS00245	3495		old_locus_tag=ACU19_00245
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	43668	47162	-	WP_049618704.1	WP_049618704.1		DNA-directed RNA polymerase subunit beta	rpoB		ACU19_RS00245	3495	1164	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	47599	47985	-					rplL		ACU19_RS00250	387		old_locus_tag=ACU19_00250
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	47599	47985	-	WP_049618705.1	WP_049618705.1		50S ribosomal protein L7/L12	rplL		ACU19_RS00250	387	128	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	48077	48607	-					rplJ		ACU19_RS00255	531		old_locus_tag=ACU19_00255
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	48077	48607	-	WP_049618706.1	WP_049618706.1		50S ribosomal protein L10	rplJ		ACU19_RS00255	531	176	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	49048	50421	-							ACU19_RS00260	1374		old_locus_tag=ACU19_00260
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	49048	50421	-	WP_049618707.1	WP_049618707.1		glycosyltransferase family 39 protein			ACU19_RS00260	1374	457	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	50714	51415	-					rplA		ACU19_RS00265	702		old_locus_tag=ACU19_00265
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	50714	51415	-	WP_049618708.1	WP_049618708.1		50S ribosomal protein L1	rplA		ACU19_RS00265	702	233	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	51521	51955	-					rplK		ACU19_RS00270	435		old_locus_tag=ACU19_00270
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	51521	51955	-	WP_049618709.1	WP_049618709.1		50S ribosomal protein L11	rplK		ACU19_RS00270	435	144	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	52094	53098	-					nusG		ACU19_RS00275	1005		old_locus_tag=ACU19_00275
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	52094	53098	-	WP_049618710.1	WP_049618710.1		transcription termination/antitermination protein NusG	nusG		ACU19_RS00275	1005	334	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53125	53361	-					secE		ACU19_RS00280	237		old_locus_tag=ACU19_00280
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53125	53361	-	WP_049618717.1	WP_049618717.1		preprotein translocase subunit SecE	secE		ACU19_RS00280	237	78	
gene	tRNA	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53411	53483	-							ACU19_RS00285	73		old_locus_tag=ACU19_00285
tRNA		GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53411	53483	-				tRNA-Trp			ACU19_RS00285	73		anticodon=CCA
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53930	55147	+							ACU19_RS00290	1218		old_locus_tag=ACU19_00290
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	53930	55147	+	WP_049618711.1	WP_049618711.1		pyridoxal phosphate-dependent aminotransferase			ACU19_RS00290	1218	405	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	55174	56658	-							ACU19_RS00295	1485		old_locus_tag=ACU19_00295
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	55174	56658	-	WP_049618712.1	WP_049618712.1		phosphotransferase			ACU19_RS00295	1485	494	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	57087	58349	-							ACU19_RS00300	1263		old_locus_tag=ACU19_00300
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	57087	58349	-	WP_049618713.1	WP_049618713.1		hypothetical protein			ACU19_RS00300	1263	420	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	58370	59248	-							ACU19_RS00305	879		old_locus_tag=ACU19_00305
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000001.1	58370	59248	-	WP_049618714.1	WP_049618714.1		C39 family peptidase			ACU19_RS00305	879	292	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	850	3930	+					adhE		ACU19_RS01375	3081		old_locus_tag=ACU19_01385
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	850	3930	+	WP_231583030.1	WP_231583030.1		bifunctional acetaldehyde-CoA/alcohol dehydrogenase	adhE		ACU19_RS01375	3081	1026	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	4070	4765	+							ACU19_RS01380	696		old_locus_tag=ACU19_01390
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	4070	4765	+	WP_049618925.1	WP_049618925.1		FadR family transcriptional regulator			ACU19_RS01380	696	231	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	5030	6460	+							ACU19_RS01385	1431		old_locus_tag=ACU19_01395
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	5030	6460	+	WP_049618926.1	WP_049618926.1		hypothetical protein			ACU19_RS01385	1431	476	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	6518	7402	+							ACU19_RS01390	885		old_locus_tag=ACU19_01400
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	6518	7402	+	WP_049618927.1	WP_049618927.1		NAD(P)-dependent oxidoreductase			ACU19_RS01390	885	294	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	7478	8878	+							ACU19_RS01395	1401		old_locus_tag=ACU19_01405
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	7478	8878	+	WP_231583032.1	WP_231583032.1		transporter			ACU19_RS01395	1401	466	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	9052	11880	-							ACU19_RS10505	2829		old_locus_tag=ACU19_01410
CDS	with_protein	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	9052	11880	-	WP_197077773.1	WP_197077773.1		glycoside hydrolase family 3 C-terminal domain-containing protein			ACU19_RS10505	2829	942	
gene	protein_coding	GCF_001183565.1	Primary Assembly	unplaced scaffold		NZ_LFUS01000010.1	12302	13495	-							ACU19_RS01405	1194		old_locus_tag=ACU19_01415
