# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	4665	7064	-	WP_255313900.1	WP_255313900.1		penicillin-binding protein			HLG82_RS00030	2400	799	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	7322	7660	+							HLG82_RS00035	339		old_locus_tag=HLG82_00035
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	7322	7660	+	WP_193326744.1	WP_193326744.1		WhiB family transcriptional regulator			HLG82_RS00035	339	112	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	7939	8094	+							HLG82_RS00040	156		old_locus_tag=HLG82_00040
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	7939	8094	+	WP_193326745.1	WP_193326745.1		hypothetical protein			HLG82_RS00040	156	51	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	8097	8552	+							HLG82_RS00045	456		old_locus_tag=HLG82_00045
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	8097	8552	+	WP_193326746.1	WP_193326746.1		RidA family protein			HLG82_RS00045	456	151	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	9010	9687	-							HLG82_RS00050	678		old_locus_tag=HLG82_00050
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	9010	9687	-	WP_193326747.1	WP_193326747.1		Crp/Fnr family transcriptional regulator			HLG82_RS00050	678	225	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	9917	10549	+					nth		HLG82_RS00055	633		old_locus_tag=HLG82_00055
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	9917	10549	+	WP_255313969.1	WP_255313969.1		endonuclease III	nth		HLG82_RS00055	633	210	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	10578	11492	-							HLG82_RS00060	915		old_locus_tag=HLG82_00060
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	10578	11492	-	WP_193326749.1	WP_193326749.1		alpha/beta hydrolase			HLG82_RS00060	915	304	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	11492	12682	-							HLG82_RS00065	1191		old_locus_tag=HLG82_00065
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	11492	12682	-	WP_193326750.1	WP_193326750.1		hypothetical protein			HLG82_RS00065	1191	396	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	12836	13807	+							HLG82_RS00070	972		old_locus_tag=HLG82_00070
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	12836	13807	+	WP_193326751.1	WP_193326751.1		hypothetical protein			HLG82_RS00070	972	323	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	13804	15042	+							HLG82_RS00075	1239		old_locus_tag=HLG82_00075
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	13804	15042	+	WP_193326752.1	WP_193326752.1		TadA family conjugal transfer-associated ATPase			HLG82_RS00075	1239	412	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	15039	15701	+							HLG82_RS00080	663		old_locus_tag=HLG82_00080
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	15039	15701	+	WP_193326753.1	WP_193326753.1		hypothetical protein			HLG82_RS00080	663	220	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	15709	16323	+							HLG82_RS00085	615		old_locus_tag=HLG82_00085
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	15709	16323	+	WP_193326754.1	WP_193326754.1		type II secretion system F family protein			HLG82_RS00085	615	204	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	16830	17015	+							HLG82_RS00090	186		old_locus_tag=HLG82_00090
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	16830	17015	+	WP_193326755.1	WP_193326755.1		DUF4244 domain-containing protein			HLG82_RS00090	186	61	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	17219	17587	+							HLG82_RS00095	369		old_locus_tag=HLG82_00095
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	17219	17587	+	WP_193326756.1	WP_193326756.1		hypothetical protein			HLG82_RS00095	369	122	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	17666	18052	+							HLG82_RS00100	387		old_locus_tag=HLG82_00100
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	17666	18052	+	WP_193326757.1	WP_193326757.1		hypothetical protein			HLG82_RS00100	387	128	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	18025	20367	-							HLG82_RS00105	2343		old_locus_tag=HLG82_00105
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	18025	20367	-	WP_193326758.1	WP_193326758.1		DEAD/DEAH box helicase			HLG82_RS00105	2343	780	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	20487	20738	-							HLG82_RS00110	252		old_locus_tag=HLG82_00110
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	20487	20738	-	WP_193326759.1	WP_193326759.1		helix-turn-helix transcriptional regulator			HLG82_RS00110	252	83	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	20728	21321	-							HLG82_RS00115	594		old_locus_tag=HLG82_00115
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	20728	21321	-	WP_193326760.1	WP_193326760.1		DUF2975 domain-containing protein			HLG82_RS00115	594	197	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	21547	23070	+							HLG82_RS00120	1524		old_locus_tag=HLG82_00120
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	21547	23070	+	WP_193326761.1	WP_193326761.1		50S ribosomal protein L11 methyltransferase			HLG82_RS00120	1524	507	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	23159	25888	+					topA		HLG82_RS00125	2730		old_locus_tag=HLG82_00125
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	23159	25888	+	WP_193326762.1	WP_193326762.1		type I DNA topoisomerase	topA		HLG82_RS00125	2730	909	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	25903	26604	+					tmk		HLG82_RS00130	702		old_locus_tag=HLG82_00130
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	25903	26604	+	WP_193326763.1	WP_193326763.1		dTMP kinase	tmk		HLG82_RS00130	702	233	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	26601	27803	+							HLG82_RS00135	1203		old_locus_tag=HLG82_00135
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	26601	27803	+	WP_193326764.1	WP_193326764.1		DNA polymerase III subunit delta'			HLG82_RS00135	1203	400	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	27934	29472	+							HLG82_RS00140	1539		old_locus_tag=HLG82_00140
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	27934	29472	+	WP_193326765.1	WP_193326765.1		alpha/beta hydrolase			HLG82_RS00140	1539	512	
gene	tRNA	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	29542	29614	+							HLG82_RS00145	73		old_locus_tag=HLG82_00145
tRNA		GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	29542	29614	+				tRNA-Thr			HLG82_RS00145	73		anticodon=CGT
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	30036	30263	+							HLG82_RS00155	228		old_locus_tag=HLG82_00155
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	30036	30263	+	WP_193326766.1	WP_193326766.1		helix-turn-helix domain-containing protein			HLG82_RS00155	228	75	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	30310	31083	+							HLG82_RS00160	774		old_locus_tag=HLG82_00160
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	30310	31083	+	WP_193326767.1	WP_193326767.1		hypothetical protein			HLG82_RS00160	774	257	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	31117	32454	+							HLG82_RS00165	1338		old_locus_tag=HLG82_00165
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	31117	32454	+	WP_193326768.1	WP_193326768.1		hypothetical protein			HLG82_RS00165	1338	445	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32435	32632	+							HLG82_RS00170	198		old_locus_tag=HLG82_00170
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32435	32632	+	WP_193326769.1	WP_193326769.1		hypothetical protein			HLG82_RS00170	198	65	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32647	33027	+							HLG82_RS00175	381		old_locus_tag=HLG82_00175
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32647	33027	+	WP_129288858.1	WP_129288858.1		PrgI family protein			HLG82_RS00175	381	126	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32966	35335	+							HLG82_RS00180	2370		old_locus_tag=HLG82_00180
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	32966	35335	+	WP_255313901.1	WP_255313901.1		ATP-binding protein			HLG82_RS00180	2370	789	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	35857	36990	+							HLG82_RS00185	1134		old_locus_tag=HLG82_00185
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	35857	36990	+	WP_193326770.1	WP_193326770.1		CHAP domain-containing protein			HLG82_RS00185	1134	377	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	36987	37820	+							HLG82_RS00190	834		old_locus_tag=HLG82_00190
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	36987	37820	+	WP_129288860.1	WP_129288860.1		hypothetical protein			HLG82_RS00190	834	277	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	37870	39543	-							HLG82_RS00195	1674		old_locus_tag=HLG82_00195
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	37870	39543	-	WP_255313902.1	WP_255313902.1		type IV secretory system conjugative DNA transfer family protein			HLG82_RS00195	1674	557	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	39540	39953	-							HLG82_RS00200	414		old_locus_tag=HLG82_00200
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	39540	39953	-	WP_193326771.1	WP_193326771.1		hypothetical protein			HLG82_RS00200	414	137	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	39946	40239	-							HLG82_RS00205	294		old_locus_tag=HLG82_00205
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	39946	40239	-	WP_193326772.1	WP_193326772.1		hypothetical protein			HLG82_RS00205	294	97	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	40236	41249	-							HLG82_RS00210	1014		old_locus_tag=HLG82_00210
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	40236	41249	-	WP_193326773.1	WP_193326773.1		PcfB family protein			HLG82_RS00210	1014	337	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	41246	42634	-							HLG82_RS00215	1389		old_locus_tag=HLG82_00215
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	41246	42634	-	WP_193326774.1	WP_193326774.1		relaxase/mobilization nuclease domain-containing protein			HLG82_RS00215	1389	462	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	42582	42968	-							HLG82_RS00220	387		old_locus_tag=HLG82_00220
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	42582	42968	-	WP_193326775.1	WP_193326775.1		MobC family plasmid mobilization relaxosome protein			HLG82_RS00220	387	128	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	43284	43658	+							HLG82_RS00225	375		old_locus_tag=HLG82_00225
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	43284	43658	+	WP_193326776.1	WP_193326776.1		hypothetical protein			HLG82_RS00225	375	124	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	43982	44149	+							HLG82_RS00230	168		old_locus_tag=HLG82_00230
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	43982	44149	+	WP_193326777.1	WP_193326777.1		hypothetical protein			HLG82_RS00230	168	55	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	44212	45093	-							HLG82_RS00235	882		old_locus_tag=HLG82_00235
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	44212	45093	-	WP_193326778.1	WP_193326778.1		IS3 family transposase			HLG82_RS00235	882	293	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	45063	45347	-							HLG82_RS00240	285		old_locus_tag=HLG82_00240
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	45063	45347	-	WP_193326469.1	WP_193326469.1		transposase			HLG82_RS00240	285	94	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	45416	46177	-							HLG82_RS00245	762		old_locus_tag=HLG82_00245
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	45416	46177	-	WP_216858945.1	WP_216858945.1		Fic family protein			HLG82_RS00245	762	253	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	46180	46368	-							HLG82_RS00250	189		old_locus_tag=HLG82_00250
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	46180	46368	-	WP_129288869.1	WP_129288869.1		hypothetical protein			HLG82_RS00250	189	62	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	46607	46972	-							HLG82_RS00255	366		old_locus_tag=HLG82_00255
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	46607	46972	-	WP_193326780.1	WP_193326780.1		hypothetical protein			HLG82_RS00255	366	121	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	47326	47661	-							HLG82_RS00260	336		old_locus_tag=HLG82_00260
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	47326	47661	-	WP_129288872.1	WP_129288872.1		hypothetical protein			HLG82_RS00260	336	111	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	47658	48431	-							HLG82_RS00265	774		old_locus_tag=HLG82_00265
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	47658	48431	-	WP_193326781.1	WP_193326781.1		ParA family protein			HLG82_RS00265	774	257	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	48504	48815	-							HLG82_RS00270	312		old_locus_tag=HLG82_00270
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	48504	48815	-	WP_129288874.1	WP_129288874.1		hypothetical protein			HLG82_RS00270	312	103	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	48812	49687	-							HLG82_RS00275	876		old_locus_tag=HLG82_00275
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	48812	49687	-	WP_193326782.1	WP_193326782.1		tyrosine-type recombinase/integrase			HLG82_RS00275	876	291	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	49705	49866	+							HLG82_RS00280	162		old_locus_tag=HLG82_00280
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	49705	49866	+	WP_193326783.1	WP_193326783.1		hypothetical protein			HLG82_RS00280	162	53	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	50178	50462	-							HLG82_RS00285	285		old_locus_tag=HLG82_00285
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	50178	50462	-	WP_193326784.1	WP_193326784.1		hypothetical protein			HLG82_RS00285	285	94	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	51645	52400	+							HLG82_RS00290	756		old_locus_tag=HLG82_00290
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	51645	52400	+	WP_193326785.1	WP_193326785.1		FMN-binding negative transcriptional regulator			HLG82_RS00290	756	251	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	52410	52781	+							HLG82_RS00295	372		old_locus_tag=HLG82_00295
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	52410	52781	+	WP_193326786.1	WP_193326786.1		hypothetical protein			HLG82_RS00295	372	123	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	53753	56365	+							HLG82_RS00300	2613		old_locus_tag=HLG82_00300
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	53753	56365	+	WP_216858946.1	WP_216858946.1		SpaA isopeptide-forming pilin-related protein			HLG82_RS00300	2613	870	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	56407	58155	+							HLG82_RS00305	1749		old_locus_tag=HLG82_00305
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	56407	58155	+	WP_193326788.1	WP_193326788.1		SpaH/EbpB family LPXTG-anchored major pilin			HLG82_RS00305	1749	582	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	58237	59094	+							HLG82_RS00310	858		old_locus_tag=HLG82_00310
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	58237	59094	+	WP_193326789.1	WP_193326789.1		class C sortase			HLG82_RS00310	858	285	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	59087	60052	+							HLG82_RS00315	966		old_locus_tag=HLG82_00315
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	59087	60052	+	WP_193326790.1	WP_193326790.1		class C sortase			HLG82_RS00315	966	321	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	60115	60855	+							HLG82_RS00320	741		old_locus_tag=HLG82_00320
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	60115	60855	+	WP_193326791.1	WP_193326791.1		phosphoglyceromutase			HLG82_RS00320	741	246	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	61158	62216	-							HLG82_RS00325	1059		old_locus_tag=HLG82_00325
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	61158	62216	-	WP_193326792.1	WP_193326792.1		hypothetical protein			HLG82_RS00325	1059	352	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	62529	63179	-					phoU		HLG82_RS00330	651		old_locus_tag=HLG82_00330
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	62529	63179	-	WP_193326793.1	WP_193326793.1		phosphate signaling complex protein PhoU	phoU		HLG82_RS00330	651	216	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	63431	64645	+							HLG82_RS00335	1215		old_locus_tag=HLG82_00335
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	63431	64645	+	WP_193326794.1	WP_193326794.1		ATP-binding protein			HLG82_RS00335	1215	404	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	64645	65334	+							HLG82_RS00340	690		old_locus_tag=HLG82_00340
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	64645	65334	+	WP_193326795.1	WP_193326795.1		response regulator transcription factor			HLG82_RS00340	690	229	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	65455	65991	+							HLG82_RS00345	537		old_locus_tag=HLG82_00345
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	65455	65991	+	WP_193327672.1	WP_193327672.1		CarD family transcriptional regulator			HLG82_RS00345	537	178	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	65991	66740	+					ispD		HLG82_RS00350	750		old_locus_tag=HLG82_00350
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	65991	66740	+	WP_193326796.1	WP_193326796.1		2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	ispD		HLG82_RS00350	750	249	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	66740	67213	+					ispF		HLG82_RS00355	474		old_locus_tag=HLG82_00355
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	66740	67213	+	WP_193326797.1	WP_193326797.1		2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF		HLG82_RS00355	474	157	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	67268	68212	+							HLG82_RS00360	945		old_locus_tag=HLG82_00360
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	67268	68212	+	WP_193326798.1	WP_193326798.1		aldose 1-epimerase			HLG82_RS00360	945	314	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	68269	69630	-							HLG82_RS00365	1362		old_locus_tag=HLG82_00365
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	68269	69630	-	WP_193326799.1	WP_193326799.1		MFS transporter			HLG82_RS00365	1362	453	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	69716	71146	+					cysS		HLG82_RS00370	1431		old_locus_tag=HLG82_00370
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	69716	71146	+	WP_193327673.1	WP_193327673.1		cysteine--tRNA ligase	cysS		HLG82_RS00370	1431	476	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	71139	72110	+					rlmB		HLG82_RS00375	972		old_locus_tag=HLG82_00375
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	71139	72110	+	WP_193326800.1	WP_193326800.1		23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB		HLG82_RS00375	972	323	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	72187	73494	+							HLG82_RS00380	1308		old_locus_tag=HLG82_00380
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	72187	73494	+	WP_193326801.1	WP_193326801.1		hypothetical protein			HLG82_RS00380	1308	435	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	73487	74002	+							HLG82_RS00385	516		old_locus_tag=HLG82_00385
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	73487	74002	+	WP_193326802.1	WP_193326802.1		ASCH domain-containing protein			HLG82_RS00385	516	171	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	74222	75586	+							HLG82_RS00390	1365		old_locus_tag=HLG82_00390
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	74222	75586	+	WP_255313903.1	WP_255313903.1		NCS2 family nucleobase:cation symporter			HLG82_RS00390	1365	454	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	75844	76413	-							HLG82_RS00395	570		old_locus_tag=HLG82_00395
CDS	with_protein	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	75844	76413	-	WP_193326804.1	WP_193326804.1		LytR C-terminal domain-containing protein			HLG82_RS00395	570	189	
gene	protein_coding	GCF_014926385.1	Primary Assembly	chromosome		NZ_CP053291.1	76749	77090	+							HLG82_RS00400	342		old_locus_tag=HLG82_00400
