# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	67179	68258	-	WP_013169308.1	WP_013169308.1		transaldolase family protein			ARCH_RS00225	1080	359	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	68491	69267	-							ARCH_RS00230	777		old_locus_tag=Arch_0044
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	68491	69267	-	WP_013169309.1	WP_013169309.1		GntR family transcriptional regulator			ARCH_RS00230	777	258	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	69438	70427	+					iolC		ARCH_RS00235	990		old_locus_tag=Arch_0045
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	69438	70427	+	WP_013169310.1	WP_013169310.1		5-dehydro-2-deoxygluconokinase	iolC		ARCH_RS00235	990	329	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	70424	71287	+							ARCH_RS00240	864		old_locus_tag=Arch_0046
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	70424	71287	+	WP_013169311.1	WP_013169311.1		hypothetical protein			ARCH_RS00240	864	287	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	71284	72180	+					iolB		ARCH_RS00245	897		old_locus_tag=Arch_0047
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	71284	72180	+	WP_013169312.1	WP_013169312.1		5-deoxy-glucuronate isomerase	iolB		ARCH_RS00245	897	298	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	72177	74060	+					iolD		ARCH_RS00250	1884		old_locus_tag=Arch_0048
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	72177	74060	+	WP_013169313.1	WP_013169313.1		3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	iolD		ARCH_RS00250	1884	627	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	74258	75751	+							ARCH_RS00255	1494		old_locus_tag=Arch_0049
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	74258	75751	+	WP_013169314.1	WP_013169314.1		CoA-acylating methylmalonate-semialdehyde dehydrogenase			ARCH_RS00255	1494	497	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	75960	77477	-							ARCH_RS00260	1518		old_locus_tag=Arch_0050
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	75960	77477	-	WP_013169315.1	WP_013169315.1		M81 family metallopeptidase			ARCH_RS00260	1518	505	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	77503	78672	-							ARCH_RS00265	1170		old_locus_tag=Arch_0051
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	77503	78672	-	WP_013169316.1	WP_013169316.1		ROK family transcriptional regulator			ARCH_RS00265	1170	389	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	78859	80667	+							ARCH_RS00270	1809		old_locus_tag=Arch_0052
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	78859	80667	+	WP_013169317.1	WP_013169317.1		peptide ABC transporter substrate-binding protein			ARCH_RS00270	1809	602	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	80747	81709	+							ARCH_RS00275	963		old_locus_tag=Arch_0053
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	80747	81709	+	WP_013169318.1	WP_013169318.1		ABC transporter permease			ARCH_RS00275	963	320	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	81706	82563	+							ARCH_RS00280	858		old_locus_tag=Arch_0054
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	81706	82563	+	WP_013169319.1	WP_013169319.1		ABC transporter permease			ARCH_RS00280	858	285	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	82572	84563	+							ARCH_RS00285	1992		old_locus_tag=Arch_0055
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	82572	84563	+	WP_013169320.1	WP_013169320.1		ABC transporter ATP-binding protein			ARCH_RS00285	1992	663	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	84569	85471	+							ARCH_RS00290	903		old_locus_tag=Arch_0056
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	84569	85471	+	WP_013169321.1	WP_013169321.1		ROK family protein			ARCH_RS00290	903	300	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	85465	86736	+							ARCH_RS00295	1272		old_locus_tag=Arch_0057
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	85465	86736	+	WP_013169322.1	WP_013169322.1		alpha-L-fucosidase			ARCH_RS00295	1272	423	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	87163	87822	+							ARCH_RS00300	660		old_locus_tag=Arch_0058
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	87163	87822	+	WP_013169323.1	WP_013169323.1		hypothetical protein			ARCH_RS00300	660	219	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	87959	88837	+							ARCH_RS00305	879		old_locus_tag=Arch_0059
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	87959	88837	+	WP_013169324.1	WP_013169324.1		glycosyltransferase family 2 protein			ARCH_RS00305	879	292	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	88960	89703	+							ARCH_RS00310	744		old_locus_tag=Arch_0060
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	88960	89703	+	WP_013169325.1	WP_013169325.1		glycerophosphoryl diester phosphodiesterase			ARCH_RS00310	744	247	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	89823	91235	+							ARCH_RS00315	1413		old_locus_tag=Arch_0061
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	89823	91235	+	WP_013169326.1	WP_013169326.1		MFS transporter			ARCH_RS00315	1413	470	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	91422	91940	+							ARCH_RS00320	519		old_locus_tag=Arch_0062
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	91422	91940	+	WP_013169327.1	WP_013169327.1		DUF3800 domain-containing protein			ARCH_RS00320	519	172	
gene	pseudogene	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	92425	92643	+							ARCH_RS10245	219		partial;pseudo
CDS	without_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	92425	92643	+				DDE-type integrase/transposase/recombinase			ARCH_RS10245	219		partial;pseudo
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	92889	93896	-							ARCH_RS00335	1008		old_locus_tag=Arch_0064
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	92889	93896	-	WP_013169328.1	WP_013169328.1		trypsin-like serine protease			ARCH_RS00335	1008	335	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	93899	94852	-							ARCH_RS00340	954		old_locus_tag=Arch_0065
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	93899	94852	-	WP_013169329.1	WP_013169329.1		DUF418 domain-containing protein			ARCH_RS00340	954	317	
gene	pseudogene	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	95479	95613	+							ARCH_RS09835	135		partial;pseudo
CDS	without_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	95479	95613	+				integrase core domain-containing protein			ARCH_RS09835	135		partial;pseudo
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	95705	96697	-					rfbB		ARCH_RS00350	993		old_locus_tag=Arch_0067
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	95705	96697	-	WP_013169330.1	WP_013169330.1		dTDP-glucose 4,6-dehydratase	rfbB		ARCH_RS00350	993	330	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	96727	97953	-							ARCH_RS00355	1227		old_locus_tag=Arch_0068
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	96727	97953	-	WP_013169331.1	WP_013169331.1		ABC transporter ATP-binding protein			ARCH_RS00355	1227	408	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	97956	98891	-							ARCH_RS00360	936		old_locus_tag=Arch_0069
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	97956	98891	-	WP_013169332.1	WP_013169332.1		ABC transporter permease			ARCH_RS00360	936	311	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	99082	100605	+							ARCH_RS00365	1524		old_locus_tag=Arch_0070
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	99082	100605	+	WP_013169333.1	WP_013169333.1		hypothetical protein			ARCH_RS00365	1524	507	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	100602	103040	+							ARCH_RS00370	2439		old_locus_tag=Arch_0071
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	100602	103040	+	WP_013169334.1	WP_013169334.1		glycosyltransferase			ARCH_RS00370	2439	812	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	103068	103784	+							ARCH_RS00375	717		old_locus_tag=Arch_0072
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	103068	103784	+	WP_013169335.1	WP_013169335.1		glycosyltransferase family 2 protein			ARCH_RS00375	717	238	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	103793	104161	+							ARCH_RS00380	369		old_locus_tag=Arch_0073
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	103793	104161	+	WP_013169336.1	WP_013169336.1		DUF2304 domain-containing protein			ARCH_RS00380	369	122	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	104168	105514	+							ARCH_RS00385	1347		old_locus_tag=Arch_0074
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	104168	105514	+	WP_013169337.1	WP_013169337.1		glycosyltransferase family 39 protein			ARCH_RS00385	1347	448	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	105518	105877	-							ARCH_RS00390	360		old_locus_tag=Arch_0075
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	105518	105877	-	WP_013169338.1	WP_013169338.1		DUF2304 domain-containing protein			ARCH_RS00390	360	119	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	105880	106593	-							ARCH_RS00395	714		old_locus_tag=Arch_0076
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	105880	106593	-	WP_231957972.1	WP_231957972.1		glycosyltransferase			ARCH_RS00395	714	237	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	106734	108260	+							ARCH_RS00400	1527		old_locus_tag=Arch_0077
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	106734	108260	+	WP_013169340.1	WP_013169340.1		DUF2142 domain-containing protein			ARCH_RS00400	1527	508	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	108237	109472	-							ARCH_RS00405	1236		old_locus_tag=Arch_0078
CDS	with_protein	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	108237	109472	-	WP_013169341.1	WP_013169341.1		integral membrane protein			ARCH_RS00405	1236	411	
gene	protein_coding	GCF_000092365.1	Primary Assembly	chromosome		NC_014218.1	109526	110395	+							ARCH_RS00410	870		old_locus_tag=Arch_0079
