# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	29516	30454	+	WP_252673306.1	WP_252673306.1		carbohydrate kinase			NG665_RS00110	939	312	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	30532	31791	-							NG665_RS00115	1260		old_locus_tag=NG665_00115
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	30532	31791	-	WP_252673307.1	WP_252673307.1		AGE family epimerase/isomerase			NG665_RS00115	1260	419	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	31984	32331	+							NG665_RS00120	348		old_locus_tag=NG665_00120
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	31984	32331	+	WP_252673308.1	WP_252673308.1		hypothetical protein			NG665_RS00120	348	115	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	32469	33995	-							NG665_RS00125	1527		old_locus_tag=NG665_00125
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	32469	33995	-	WP_252673309.1	WP_252673309.1		M81 family metallopeptidase			NG665_RS00125	1527	508	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	34030	35265	-							NG665_RS00130	1236		old_locus_tag=NG665_00130
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	34030	35265	-	WP_252673310.1	WP_252673310.1		ROK family transcriptional regulator			NG665_RS00130	1236	411	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	35409	37214	+							NG665_RS00135	1806		old_locus_tag=NG665_00135
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	35409	37214	+	WP_252673311.1	WP_252673311.1		peptide ABC transporter substrate-binding protein			NG665_RS00135	1806	601	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	37334	38293	+							NG665_RS00140	960		old_locus_tag=NG665_00140
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	37334	38293	+	WP_252673312.1	WP_252673312.1		ABC transporter permease			NG665_RS00140	960	319	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	38293	39156	+							NG665_RS00145	864		old_locus_tag=NG665_00145
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	38293	39156	+	WP_252673313.1	WP_252673313.1		ABC transporter permease			NG665_RS00145	864	287	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	39165	41162	+							NG665_RS00150	1998		old_locus_tag=NG665_00150
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	39165	41162	+	WP_252673314.1	WP_252673314.1		ABC transporter ATP-binding protein			NG665_RS00150	1998	665	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	41168	42073	+							NG665_RS00155	906		old_locus_tag=NG665_00155
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	41168	42073	+	WP_252673315.1	WP_252673315.1		ROK family protein			NG665_RS00155	906	301	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	42067	43344	+							NG665_RS00160	1278		old_locus_tag=NG665_00160
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	42067	43344	+	WP_252673316.1	WP_252673316.1		alpha-L-fucosidase			NG665_RS00160	1278	425	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	43416	44075	+							NG665_RS00165	660		old_locus_tag=NG665_00165
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	43416	44075	+	WP_252673317.1	WP_252673317.1		copper homeostasis protein CutC			NG665_RS00165	660	219	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	44209	45471	-							NG665_RS00170	1263		old_locus_tag=NG665_00170
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	44209	45471	-	WP_252673318.1	WP_252673318.1		DUF6287 domain-containing protein			NG665_RS00170	1263	420	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	45731	46612	+							NG665_RS00175	882		old_locus_tag=NG665_00175
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	45731	46612	+	WP_252673319.1	WP_252673319.1		glycosyltransferase family 2 protein			NG665_RS00175	882	293	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	46689	47426	+							NG665_RS00180	738		old_locus_tag=NG665_00180
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	46689	47426	+	WP_252673320.1	WP_252673320.1		glycerophosphoryl diester phosphodiesterase			NG665_RS00180	738	245	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	47633	48625	-					rfbB		NG665_RS00185	993		old_locus_tag=NG665_00185
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	47633	48625	-	WP_252673321.1	WP_252673321.1		dTDP-glucose 4,6-dehydratase	rfbB		NG665_RS00185	993	330	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	48871	49785	+							NG665_RS00190	915		old_locus_tag=NG665_00190
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	48871	49785	+	WP_252673322.1	WP_252673322.1		ABC transporter permease			NG665_RS00190	915	304	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	49785	51023	+							NG665_RS00195	1239		old_locus_tag=NG665_00195
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	49785	51023	+	WP_252673323.1	WP_252673323.1		ABC transporter ATP-binding protein			NG665_RS00195	1239	412	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	51028	51249	+							NG665_RS00200	222		old_locus_tag=NG665_00200
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	51028	51249	+	WP_252673324.1	WP_252673324.1		hypothetical protein			NG665_RS00200	222	73	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	51201	52118	+							NG665_RS00205	918		old_locus_tag=NG665_00205
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	51201	52118	+	WP_252673325.1	WP_252673325.1		rhamnan synthesis F family protein			NG665_RS00205	918	305	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	52120	54180	+							NG665_RS00210	2061		old_locus_tag=NG665_00210
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	52120	54180	+	WP_252673326.1	WP_252673326.1		glycoside hydrolase family 99-like domain-containing protein			NG665_RS00210	2061	686	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	54291	56294	+							NG665_RS00215	2004		old_locus_tag=NG665_00215
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	54291	56294	+	WP_252673327.1	WP_252673327.1		DUF2142 domain-containing protein			NG665_RS00215	2004	667	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	56405	57142	+							NG665_RS00220	738		old_locus_tag=NG665_00220
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	56405	57142	+	WP_252673328.1	WP_252673328.1		glycosyltransferase family 2 protein			NG665_RS00220	738	245	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57150	57554	+							NG665_RS00225	405		old_locus_tag=NG665_00225
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57150	57554	+	WP_252673329.1	WP_252673329.1		DUF2304 domain-containing protein			NG665_RS00225	405	134	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57546	57896	-							NG665_RS00230	351		old_locus_tag=NG665_00230
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57546	57896	-	WP_252673330.1	WP_252673330.1		DUF2304 domain-containing protein			NG665_RS00230	351	116	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57899	58612	-							NG665_RS00235	714		old_locus_tag=NG665_00235
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	57899	58612	-	WP_252673331.1	WP_252673331.1		glycosyltransferase family 2 protein			NG665_RS00235	714	237	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	58752	60299	+							NG665_RS00240	1548		old_locus_tag=NG665_00240
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	58752	60299	+	WP_252673332.1	WP_252673332.1		DUF2142 domain-containing protein			NG665_RS00240	1548	515	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	60315	61535	-							NG665_RS00245	1221		old_locus_tag=NG665_00245
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	60315	61535	-	WP_252673333.1	WP_252673333.1		hypothetical protein			NG665_RS00245	1221	406	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	61588	62469	+							NG665_RS00250	882		old_locus_tag=NG665_00250
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	61588	62469	+	WP_252673334.1	WP_252673334.1		glycosyltransferase			NG665_RS00250	882	293	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	62506	63363	-							NG665_RS00255	858		old_locus_tag=NG665_00255
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	62506	63363	-	WP_252673335.1	WP_252673335.1		LicD family protein			NG665_RS00255	858	285	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	63395	65191	-							NG665_RS00260	1797		old_locus_tag=NG665_00260
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	63395	65191	-	WP_252673336.1	WP_252673336.1		phosphotransferase			NG665_RS00260	1797	598	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	65279	66388	-							NG665_RS00265	1110		old_locus_tag=NG665_00265
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	65279	66388	-	WP_252673337.1	WP_252673337.1		glycosyltransferase family 4 protein			NG665_RS00265	1110	369	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	66417	67268	-					rfbD		NG665_RS00270	852		old_locus_tag=NG665_00270
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	66417	67268	-	WP_252673338.1	WP_252673338.1		dTDP-4-dehydrorhamnose reductase	rfbD		NG665_RS00270	852	283	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	67474	68736	-							NG665_RS00275	1263		old_locus_tag=NG665_00275
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	67474	68736	-	WP_252673339.1	WP_252673339.1		oligosaccharide flippase family protein			NG665_RS00275	1263	420	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	69081	70097	+							NG665_RS00280	1017		old_locus_tag=NG665_00280
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	69081	70097	+	WP_252673340.1	WP_252673340.1		glycosyltransferase			NG665_RS00280	1017	338	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	70257	70874	+							NG665_RS00285	618		old_locus_tag=NG665_00285
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	70257	70874	+	WP_252673341.1	WP_252673341.1		dTDP-4-dehydrorhamnose 3,5-epimerase			NG665_RS00285	618	205	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	71026	71919	-							NG665_RS00290	894		old_locus_tag=NG665_00290
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	71026	71919	-	WP_252673342.1	WP_252673342.1		glycosyltransferase family 2 protein			NG665_RS00290	894	297	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	71921	72796	-					rfbA		NG665_RS00295	876		old_locus_tag=NG665_00295
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	71921	72796	-	WP_252673343.1	WP_252673343.1		glucose-1-phosphate thymidylyltransferase RfbA	rfbA		NG665_RS00295	876	291	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	73002	73889	-							NG665_RS00300	888		old_locus_tag=NG665_00300
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	73002	73889	-	WP_252673344.1	WP_252673344.1		apolipoprotein A1/A4/E family protein			NG665_RS00300	888	295	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	74192	74713	+							NG665_RS00305	522		old_locus_tag=NG665_00305
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	74192	74713	+	WP_252673345.1	WP_252673345.1		peptidylprolyl isomerase			NG665_RS00305	522	173	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	74795	75370	+							NG665_RS00310	576		old_locus_tag=NG665_00310
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	74795	75370	+	WP_252674116.1	WP_252674116.1		rhomboid family intramembrane serine protease			NG665_RS00310	576	191	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	76204	76473	-							NG665_RS00315	270		old_locus_tag=NG665_00315
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	76204	76473	-	WP_252673346.1	WP_252673346.1		cell division protein CrgA			NG665_RS00315	270	89	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	76598	77530	+							NG665_RS00320	933		old_locus_tag=NG665_00320
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	76598	77530	+	WP_252673347.1	WP_252673347.1		class E sortase			NG665_RS00320	933	310	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	77534	77689	+							NG665_RS00325	156		old_locus_tag=NG665_00325
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	77534	77689	+	WP_252673348.1	WP_252673348.1		hypothetical protein			NG665_RS00325	156	51	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	77823	79724	-					pknB		NG665_RS00330	1902		old_locus_tag=NG665_00330
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	77823	79724	-	WP_252673349.1	WP_252673349.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		NG665_RS00330	1902	633	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	79808	81253	-							NG665_RS00335	1446		old_locus_tag=NG665_00335
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	79808	81253	-	WP_252673350.1	WP_252673350.1		penicillin-binding transpeptidase domain-containing protein			NG665_RS00335	1446	481	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	81250	82788	-							NG665_RS00340	1539		old_locus_tag=NG665_00340
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	81250	82788	-	WP_252673351.1	WP_252673351.1		FtsW/RodA/SpoVE family cell cycle protein			NG665_RS00340	1539	512	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	82785	84089	-							NG665_RS00345	1305		old_locus_tag=NG665_00345
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	82785	84089	-	WP_252673352.1	WP_252673352.1		protein phosphatase 2C domain-containing protein			NG665_RS00345	1305	434	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	84089	84547	-							NG665_RS00350	459		old_locus_tag=NG665_00350
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	84089	84547	-	WP_252673353.1	WP_252673353.1		FHA domain-containing protein			NG665_RS00350	459	152	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	84544	85242	-							NG665_RS00355	699		old_locus_tag=NG665_00355
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	84544	85242	-	WP_252673354.1	WP_252673354.1		DUF3662 domain-containing protein			NG665_RS00355	699	232	
gene	tRNA	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	85483	85566	+							NG665_RS00360	84		old_locus_tag=NG665_00360
tRNA		GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	85483	85566	+				tRNA-Leu			NG665_RS00360	84		anticodon=CAG
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	86206	88983	+							NG665_RS00365	2778		old_locus_tag=NG665_00365
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	86206	88983	+	WP_252673355.1	WP_252673355.1		SpaA isopeptide-forming pilin-related protein			NG665_RS00365	2778	925	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	89032	90525	+							NG665_RS00370	1494		old_locus_tag=NG665_00370
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	89032	90525	+	WP_252673356.1	WP_252673356.1		SpaH/EbpB family LPXTG-anchored major pilin			NG665_RS00370	1494	497	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	90636	91541	+							NG665_RS00375	906		old_locus_tag=NG665_00375
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	90636	91541	+	WP_252673357.1	WP_252673357.1		class C sortase			NG665_RS00375	906	301	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	91584	92417	-							NG665_RS00380	834		old_locus_tag=NG665_00380
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	91584	92417	-	WP_252673358.1	WP_252673358.1		TRIC cation channel family protein			NG665_RS00380	834	277	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	92426	93364	-							NG665_RS00385	939		old_locus_tag=NG665_00385
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	92426	93364	-	WP_252673359.1	WP_252673359.1		macro domain-containing protein			NG665_RS00385	939	312	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	93436	94053	+							NG665_RS00390	618		old_locus_tag=NG665_00390
CDS	with_protein	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	93436	94053	+	WP_252673360.1	WP_252673360.1		ribonuclease HI			NG665_RS00390	618	205	
gene	protein_coding	GCF_023973165.1	Primary Assembly	chromosome		NZ_CP099547.1	94172	96349	+							NG665_RS00395	2178		old_locus_tag=NG665_00395
