query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_WP_013169909.1_674	lcl|NZ_CP070228.1_cds_WP_204425372.1_642	80.423	945	183	2	1	944	1	944	0.0	719	1218	78	1236
lcl|NC_014218.1_cds_WP_013169913.1_678	lcl|NZ_CP070228.1_cds_WP_204425376.1_646	80.137	584	107	7	1	578	1	581	1.71e-120	427	579	99	582
lcl|NC_014218.1_cds_WP_013169923.1_689	lcl|NZ_CP070228.1_cds_WP_204425390.1_657	81.519	1396	254	4	1	1394	1	1394	0.0	1146	1395	99	1395
lcl|NC_014218.1_cds_WP_013169949.1_714	lcl|NZ_CP070228.1_cds_WP_204425442.1_692	82.760	2761	462	11	1	2754	1	2754	0.0	2449	2754	100	2754
lcl|NC_014218.1_cds_WP_013169950.1_715	lcl|NZ_CP070228.1_cds_WP_204425444.1_693	81.643	414	76	0	1	414	1	414	1.25e-95	344	414	100	414
lcl|NC_014218.1_cds_WP_013169962.1_727	lcl|NZ_CP070228.1_cds_WP_204425482.1_722	78.223	1373	293	6	53	1422	53	1422	0.0	874	1428	96	1428
lcl|NC_014218.1_cds_WP_013169978.1_743	lcl|NZ_CP070228.1_cds_WP_204425502.1_735	84.629	566	87	0	8	573	8	573	1.33e-161	564	618	92	624
lcl|NC_014218.1_cds_WP_013169982.1_747	lcl|NZ_CP070228.1_cds_WP_204425506.1_739	85.340	1221	175	3	1	1219	1	1219	0.0	1260	1221	99	1221
lcl|NC_014218.1_cds_WP_013169993.1_758	lcl|NZ_CP070228.1_cds_WP_204425749.1_749	75.616	2112	493	21	1	2101	1	2101	0.0	1027	2106	99	2106
lcl|NC_014218.1_cds_WP_013170042.1_812	lcl|NZ_CP070228.1_cds_WP_204425572.1_791	83.312	767	124	4	1	765	1	765	0.0	704	765	100	765
lcl|NC_014218.1_cds_WP_013170057.1_827	lcl|NZ_CP070228.1_cds_806	79.706	340	65	4	1429	1766	1441	1778	2.19e-64	243	1863	18	1875
lcl|NC_014218.1_cds_WP_013170077.1_847	lcl|NZ_CP070228.1_cds_WP_204425626.1_826	74.580	417	106	0	18	434	18	434	9.35e-47	183	1302	32	1281
lcl|NC_014218.1_cds_WP_041640364.1_872	lcl|NZ_CP070228.1_cds_WP_204422961.1_851	78.176	2094	412	38	1	2070	1	2073	0.0	1293	2094	99	2097
lcl|NC_014218.1_cds_WP_013170104.1_874	lcl|NZ_CP070228.1_cds_WP_204422962.1_853	86.923	780	102	0	1	780	1	780	0.0	876	780	100	780
lcl|NC_014218.1_cds_WP_013170105.1_875	lcl|NZ_CP070228.1_cds_WP_204422964.1_854	83.180	1195	199	2	1	1194	1	1194	0.0	1092	1194	100	1194
lcl|NC_014218.1_cds_WP_013170112.1_883	lcl|NZ_CP070228.1_cds_WP_204425760.1_866	81.459	987	183	0	1	987	1	987	0.0	809	987	100	987
lcl|NC_014218.1_cds_WP_013170115.1_886	lcl|NZ_CP070228.1_cds_WP_204423006.1_875	91.553	1468	113	9	1	1461	1	1464	0.0	2013	1470	99	1473
lcl|NC_014218.1_cds_WP_223804439.1_890	lcl|NZ_CP070228.1_cds_WP_239519586.1_879	80.279	573	107	6	43	612	43	612	1.84e-120	427	621	92	621
lcl|NC_014218.1_cds_WP_013170120.1_891	lcl|NZ_CP070228.1_cds_WP_204423016.1_880	83.088	1425	229	11	1	1419	1	1419	0.0	1286	1419	100	1419
lcl|NC_014218.1_cds_WP_013170130.1_901	lcl|NZ_CP070228.1_cds_WP_204423031.1_890	76.549	823	173	20	1	813	1	813	5.41e-122	433	843	96	843
lcl|NC_014218.1_cds_WP_013170154.1_927	lcl|NZ_CP070228.1_cds_WP_204423067.1_916	76.206	622	148	0	434	1055	434	1055	9.84e-91	329	1131	55	1131
lcl|NC_014218.1_cds_WP_013170172.1_946	lcl|NZ_CP070228.1_cds_WP_204423120.1_941	76.033	847	188	14	13	851	12	851	1.24e-119	425	1146	73	1146
lcl|NC_014218.1_cds_WP_261974476.1_951	lcl|NZ_CP070228.1_cds_WP_204423128.1_946	80.952	924	164	11	4	921	1	918	0.0	721	921	99	918
lcl|NC_014218.1_cds_WP_013170184.1_958	lcl|NZ_CP070228.1_cds_WP_013170184.1_953	96.410	195	7	0	1	195	1	195	2.62e-89	322	195	100	195
lcl|NC_014218.1_cds_WP_081440773.1_959	lcl|NZ_CP070228.1_cds_WP_204423141.1_954	84.628	618	93	2	1	617	52	668	1.37e-176	614	645	96	696
lcl|NC_014218.1_cds_WP_013170193.1_967	lcl|NZ_CP070228.1_cds_WP_204423154.1_962	80.934	514	92	5	1	511	1	511	9.13e-113	401	513	99	513
lcl|NC_014218.1_cds_WP_041640373.1_976	lcl|NZ_CP070228.1_cds_WP_239519485.1_968	77.416	859	178	12	1	851	1	851	1.95e-141	497	867	98	864
lcl|NC_014218.1_cds_WP_013170204.1_980	lcl|NZ_CP070228.1_cds_WP_204423179.1_975	80.515	1863	357	5	1	1860	1	1860	0.0	1424	1860	100	1860
lcl|NC_014218.1_cds_WP_013170208.1_984	lcl|NZ_CP070228.1_cds_WP_204423187.1_979	91.386	267	23	0	1	267	1	267	1.67e-102	366	267	100	267
lcl|NC_014218.1_cds_WP_013170216.1_992	lcl|NZ_CP070228.1_cds_WP_204423199.1_985	79.435	2869	564	21	1	2856	1	2856	0.0	2006	2880	99	2880
lcl|NC_014218.1_cds_WP_013170240.1_1016	lcl|NZ_CP070228.1_cds_WP_204423259.1_1007	76.717	3217	689	50	1	3187	1	3187	0.0	1736	3192	99	3192
lcl|NC_014218.1_cds_WP_013170272.1_1052	lcl|NZ_CP070228.1_cds_WP_204423315.1_1036	83.532	419	69	0	1	419	1	419	4.99e-110	392	468	90	471
lcl|NC_014218.1_cds_WP_013170274.1_1054	lcl|NZ_CP070228.1_cds_WP_239519490.1_1038	77.815	595	124	8	57	647	57	647	2.12e-100	361	693	85	738
lcl|NC_014218.1_cds_WP_013170278.1_1058	lcl|NZ_CP070228.1_cds_WP_013170278.1_1042	96.899	258	8	0	1	258	1	258	1.57e-122	433	258	100	258
lcl|NC_014218.1_cds_WP_013170279.1_1059	lcl|NZ_CP070228.1_cds_WP_013170279.1_1043	94.771	306	16	0	1	306	1	306	8.58e-136	477	306	100	306
lcl|NC_014218.1_cds_WP_013170281.1_1061	lcl|NZ_CP070228.1_cds_WP_204423328.1_1045	77.096	1515	317	25	1	1500	1	1500	0.0	848	1500	100	1500
lcl|NC_014218.1_cds_WP_013170282.1_1062	lcl|NZ_CP070228.1_cds_WP_204423330.1_1046	79.505	1132	214	15	1	1123	1	1123	0.0	789	1140	99	1140
lcl|NC_014218.1_cds_WP_013170284.1_1064	lcl|NZ_CP070228.1_cds_WP_239519492.1_1048	71.208	1622	425	39	55	1655	52	1652	9.09e-103	370	1761	91	1758
lcl|NC_014218.1_cds_WP_013170294.1_1074	lcl|NZ_CP070228.1_cds_WP_091280916.1_1058	96.354	192	7	0	1	192	1	192	1.20e-87	316	192	100	192
lcl|NC_014218.1_cds_WP_013170321.1_1101	lcl|NZ_CP070228.1_cds_WP_204423423.1_1086	76.960	421	93	3	265	683	241	659	3.80e-63	237	708	59	684
lcl|NC_014218.1_cds_WP_013170336.1_1116	lcl|NZ_CP070228.1_cds_WP_239519494.1_1103	79.114	1264	260	4	106	1367	34	1295	0.0	869	1389	91	1329
lcl|NC_014218.1_cds_WP_187286522.1_1132	lcl|NZ_CP070228.1_cds_WP_204423525.1_1132	77.681	802	165	11	136	930	160	954	2.75e-135	477	939	85	963
lcl|NC_014218.1_cds_WP_013170380.1_1158	lcl|NZ_CP070228.1_cds_WP_204425172.1_479	76.650	1182	252	19	1	1170	1	1170	0.0	632	1212	97	1221
lcl|NC_014218.1_cds_WP_013170384.1_1162	lcl|NZ_CP070228.1_cds_WP_204423554.1_1150	75.118	1270	298	18	28	1288	25	1285	1.02e-165	579	1296	97	1293
lcl|NC_014218.1_cds_WP_013170387.1_1165	lcl|NZ_CP070228.1_cds_WP_204423574.1_1157	80.000	150	28	2	730	878	730	878	2.18e-24	110	1755	8	1755
lcl|NC_014218.1_cds_WP_013170433.1_1215	lcl|NZ_CP070228.1_cds_WP_204423648.1_1198	80.180	222	44	0	616	837	616	837	6.01e-42	167	837	27	837
lcl|NC_014218.1_cds_WP_013170434.1_1216	lcl|NZ_CP070228.1_cds_WP_204423650.1_1199	76.250	1520	339	19	1	1509	1	1509	0.0	787	1509	100	1509
lcl|NC_014218.1_cds_WP_231958010.1_1226	lcl|NZ_CP070228.1_cds_WP_204423671.1_1209	82.716	81	14	0	103	183	94	174	1.98e-13	73.1	1221	7	1212
lcl|NC_014218.1_cds_WP_013170457.1_1239	lcl|NZ_CP070228.1_cds_WP_204423695.1_1223	86.667	105	12	2	1	104	1	104	4.37e-27	115	180	58	183
lcl|NC_014218.1_cds_WP_013170473.1_1255	lcl|NZ_CP070228.1_cds_WP_204423716.1_1239	78.433	1289	268	10	1	1284	1	1284	0.0	832	1284	100	1284
lcl|NC_014218.1_cds_WP_013170484.1_1266	lcl|NZ_CP070228.1_cds_WP_091280476.1_1244	87.161	997	126	2	1	996	1	996	0.0	1131	996	100	996
lcl|NC_014218.1_cds_WP_013170492.1_1273	lcl|NZ_CP070228.1_cds_WP_204423737.1_1253	80.087	919	181	2	1	918	1	918	0.0	682	921	99	927
lcl|NC_014218.1_cds_WP_013170495.1_1276	lcl|NZ_CP070228.1_cds_WP_204423742.1_1256	77.139	2069	451	22	160	2217	163	2220	0.0	1181	2511	82	2520
lcl|NC_014218.1_cds_WP_013170501.1_1285	lcl|NZ_CP070228.1_cds_WP_204423790.1_1287	90.461	1562	149	0	1	1562	1	1562	0.0	2060	1566	99	1566
lcl|NC_014218.1_cds_WP_013170501.1_1285	lcl|NZ_CP070228.1_cds_1275	89.681	407	39	2	1159	1562	13	419	9.79e-147	516	1566	26	423
lcl|NC_014218.1_cds_WP_013170501.1_1285	lcl|NZ_CP070228.1_cds_1272	80.882	272	47	5	1291	1561	1	268	1.86e-54	209	1566	17	271
lcl|NC_014218.1_cds_WP_013170504.1_1286	lcl|NZ_CP070228.1_cds_WP_204423792.1_1288	89.167	240	24	2	12	250	12	250	6.64e-82	298	285	84	267
lcl|NC_014218.1_cds_WP_013170508.1_1290	lcl|NZ_CP070228.1_cds_WP_204423794.1_1289	91.595	928	78	0	1	928	1	928	0.0	1282	930	99	930
lcl|NC_014218.1_cds_WP_013170513.1_1295	lcl|NZ_CP070228.1_cds_WP_204423806.1_1296	84.294	1388	216	2	1	1387	1	1387	0.0	1354	1389	99	1389
lcl|NC_014218.1_cds_WP_013170516.1_1298	lcl|NZ_CP070228.1_cds_WP_204423810.1_1299	75.869	1554	357	16	1	1545	1	1545	0.0	776	1545	100	1545
lcl|NC_014218.1_cds_WP_013170520.1_1304	lcl|NZ_CP070228.1_cds_WP_204423820.1_1306	88.215	297	35	0	1	297	1	297	4.06e-99	355	297	100	297
lcl|NC_014218.1_cds_WP_013170523.1_1307	lcl|NZ_CP070228.1_cds_WP_204423828.1_1310	87.027	740	96	0	1	740	1	740	0.0	835	744	99	744
lcl|NC_014218.1_cds_WP_013170524.1_1308	lcl|NZ_CP070228.1_cds_WP_204423830.1_1311	85.707	1973	278	4	1	1971	1	1971	0.0	2078	1971	100	1971
lcl|NC_014218.1_cds_WP_170121734.1_1309	lcl|NZ_CP070228.1_cds_WP_204423832.1_1312	81.497	708	129	2	1	707	1	707	1.55e-166	580	717	99	717
lcl|NC_014218.1_cds_WP_013170535.1_1319	lcl|NZ_CP070228.1_cds_WP_204423851.1_1322	91.770	486	40	0	1	486	1	486	0.0	676	486	100	486
lcl|NC_014218.1_cds_WP_041640978.1_1320	lcl|NZ_CP070228.1_cds_WP_204423852.1_1323	90.991	444	40	0	1	444	1	444	2.59e-172	599	444	100	444
lcl|NC_014218.1_cds_WP_013170537.1_1321	lcl|NZ_CP070228.1_cds_WP_204423854.1_1324	73.943	733	165	24	1	720	1	720	1.31e-73	272	882	82	885
lcl|NC_014218.1_cds_WP_013170540.1_1323	lcl|NZ_CP070228.1_cds_1326	88.330	437	48	2	1	434	1	437	6.51e-149	521	498	87	438
lcl|NC_014218.1_cds_WP_013170541.1_1324	lcl|NZ_CP070228.1_cds_WP_204423859.1_1327	85.871	1005	142	0	1	1005	1	1005	0.0	1070	1005	100	1005
lcl|NC_014218.1_cds_WP_013170543.1_1326	lcl|NZ_CP070228.1_cds_WP_204423863.1_1329	92.077	366	29	0	1	366	1	366	2.26e-147	516	375	98	369
lcl|NC_014218.1_cds_WP_013170544.1_1327	lcl|NZ_CP070228.1_cds_WP_013170544.1_1330	97.321	112	3	0	1	112	1	112	4.16e-50	191	114	98	114
