query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_WP_013169489.1_232	lcl|NZ_CP053291.1_cds_WP_193326731.1_2007	88.138	725	76	9	1	720	1	720	0.0	854	720	100	720
lcl|NC_014218.1_cds_WP_013169490.1_233	lcl|NZ_CP053291.1_cds_WP_193326732.1_2008	89.778	2798	259	13	1292	4080	1274	4053	0.0	3557	4080	82	4053
lcl|NC_014218.1_cds_WP_013169490.1_233	lcl|NZ_CP053291.1_cds_WP_193326732.1_2008	93.913	575	35	0	1	575	1	575	0.0	869	4080	82	4053
lcl|NC_014218.1_cds_WP_013169491.1_234	lcl|NZ_CP053291.1_cds_WP_193326143.1_1346	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169491.1_234	lcl|NZ_CP053291.1_cds_WP_193326143.1_611	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169491.1_234	lcl|NZ_CP053291.1_cds_WP_193326143.1_303	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169496.1_241	lcl|NZ_CP053291.1_cds_WP_193326300.1_1527	76.025	2707	600	42	1	2681	1	2684	0.0	1358	2739	98	2733
lcl|NC_014218.1_cds_WP_049765882.1_306	lcl|NZ_CP053291.1_cds_WP_193327768.1_1443	76.576	1507	320	27	218	1703	221	1715	0.0	797	1872	79	1884
lcl|NC_014218.1_cds_WP_013169620.1_366	lcl|NZ_CP053291.1_cds_WP_193326172.1_1380	80.227	1411	265	11	34	1434	37	1443	0.0	1048	1461	96	1467
lcl|NC_014218.1_cds_WP_013169633.1_379	lcl|NZ_CP053291.1_cds_WP_193326160.1_1368	77.061	946	213	4	664	1607	649	1592	1.93e-154	542	1617	58	1605
lcl|NC_014218.1_cds_WP_013169634.1_380	lcl|NZ_CP053291.1_cds_WP_193326159.1_1367	76.539	861	188	14	58	911	58	911	1.12e-129	459	915	93	915
lcl|NC_014218.1_cds_WP_223804433.1_387	lcl|NZ_CP053291.1_cds_WP_193326152.1_1359	75.571	2321	517	46	37	2332	70	2365	0.0	1099	2334	98	2367
lcl|NC_014218.1_cds_WP_013169725.1_477	lcl|NZ_CP053291.1_cds_WP_193326067.1_1267	82.143	140	22	3	1	140	1	137	1.27e-27	117	165	85	162
lcl|NC_014218.1_cds_WP_013169751.1_505	lcl|NZ_CP053291.1_cds_WP_193325989.1_1183	83.582	737	111	9	124	855	505	1236	0.0	682	855	86	1236
lcl|NC_014218.1_cds_WP_013169760.1_517	lcl|NZ_CP053291.1_cds_WP_193326327.1_1558	74.959	1210	266	31	7	1199	7	1196	1.94e-148	521	1251	95	1251
lcl|NC_014218.1_cds_WP_041640319.1_519	lcl|NZ_CP053291.1_cds_WP_193326332.1_1563	78.903	1531	303	18	25	1545	19	1539	0.0	1020	1605	95	1599
lcl|NC_014218.1_cds_WP_013169792.1_550	lcl|NZ_CP053291.1_cds_WP_193326050.1_1247	76.594	2478	524	47	22	2462	16	2474	0.0	1312	3180	77	3204
lcl|NC_014218.1_cds_WP_013169820.1_577	lcl|NZ_CP053291.1_cds_WP_193326026.1_1221	82.369	743	119	9	1	737	1	737	0.0	636	816	90	828
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193326468.1_1712	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193327356.1_713	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	897
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193326468.1_707	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193326468.1_329	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193326468.1_263	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193326778.1_44	82.826	460	77	2	1	459	187	645	1.57e-115	411	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_591	lcl|NZ_CP053291.1_cds_WP_193325986.1_1180	86.477	281	37	1	176	455	1	281	2.12e-84	307	462	61	522
lcl|NC_014218.1_cds_WP_081440746.1_592	lcl|NZ_CP053291.1_cds_WP_193325984.1_1179	91.579	285	24	0	46	330	1	285	1.11e-110	394	330	86	285
lcl|NC_014218.1_cds_WP_041640330.1_602	lcl|NZ_CP053291.1_cds_WP_193326010.1_1205	76.946	1028	231	6	67	1091	73	1097	2.90e-166	580	1155	89	1161
lcl|NC_014218.1_cds_WP_041640339.1_630	lcl|NZ_CP053291.1_cds_WP_193325981.1_1176	76.417	2205	486	29	1	2188	1	2188	0.0	1160	2382	92	2346
lcl|NC_014218.1_cds_WP_013169869.1_635	lcl|NZ_CP053291.1_cds_WP_197551607.1_1168	75.597	1590	372	16	37	1618	40	1621	0.0	773	1674	95	1677
lcl|NC_014218.1_cds_WP_013169923.1_689	lcl|NZ_CP053291.1_cds_WP_193325928.1_1116	75.462	1353	316	16	2	1346	2	1346	0.0	645	1395	96	1395
lcl|NC_014218.1_cds_WP_013169982.1_747	lcl|NZ_CP053291.1_cds_WP_193327652.1_1045	77.288	1158	243	17	1	1148	1	1148	0.0	664	1221	94	1221
lcl|NC_014218.1_cds_WP_013170012.1_778	lcl|NZ_CP053291.1_cds_WP_193325989.1_1183	79.662	1244	218	25	3	1227	9	1236	0.0	863	1227	99	1236
lcl|NC_014218.1_cds_WP_013170014.1_780	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_WP_013170014.1_786	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_WP_041640362.1_829	lcl|NZ_CP053291.1_cds_WP_193327596.1_982	76.362	1781	399	19	1	1770	1	1770	0.0	937	1818	97	1803
lcl|NC_014218.1_cds_WP_013170064.1_834	lcl|NZ_CP053291.1_cds_WP_193327589.1_975	73.498	1498	370	24	168	1653	168	1650	3.20e-154	542	2673	56	2664
lcl|NC_014218.1_cds_WP_013170104.1_874	lcl|NZ_CP053291.1_cds_WP_193327542.1_920	76.197	773	176	6	1	769	1	769	1.63e-112	401	780	99	777
lcl|NC_014218.1_cds_WP_013170105.1_875	lcl|NZ_CP053291.1_cds_WP_193327541.1_919	74.586	1208	275	30	1	1192	1	1192	2.41e-142	501	1194	99	1194
lcl|NC_014218.1_cds_WP_013170106.1_876	lcl|NZ_CP053291.1_cds_WP_193327540.1_918	75.697	1004	221	18	1	994	1	991	2.64e-136	481	1008	99	1005
lcl|NC_014218.1_cds_WP_041640843.1_881	lcl|NZ_CP053291.1_cds_WP_193327535.1_913	71.701	2781	719	62	1	2747	1	2747	0.0	713	2868	96	2868
lcl|NC_014218.1_cds_WP_013170115.1_886	lcl|NZ_CP053291.1_cds_WP_193327529.1_906	85.450	1244	175	6	22	1262	25	1265	0.0	1290	1470	84	1467
lcl|NC_014218.1_cds_WP_013170155.1_928	lcl|NZ_CP053291.1_cds_WP_193327479.1_851	78.116	1380	284	17	73	1443	70	1440	0.0	859	1443	95	1440
lcl|NC_014218.1_cds_WP_013170184.1_958	lcl|NZ_CP053291.1_cds_WP_193327442.1_810	85.294	170	21	4	1	168	1	168	3.21e-44	172	195	86	195
lcl|NC_014218.1_cds_WP_013169363.1_1032	lcl|NZ_CP053291.1_cds_WP_193326143.1_1346	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1032	lcl|NZ_CP053291.1_cds_WP_193326143.1_611	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1032	lcl|NZ_CP053291.1_cds_WP_193326143.1_303	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013170279.1_1059	lcl|NZ_CP053291.1_cds_WP_193327706.1_692	85.461	282	41	0	1	282	1	282	1.07e-80	294	306	92	306
lcl|NC_014218.1_cds_WP_013170282.1_1062	lcl|NZ_CP053291.1_cds_WP_193327337.1_689	75.617	689	144	20	46	725	46	719	6.90e-88	320	1140	60	1134
lcl|NC_014218.1_cds_WP_013170294.1_1074	lcl|NZ_CP053291.1_cds_WP_024964738.1_673	80.645	186	36	0	1	186	1	186	6.87e-36	145	192	97	192
lcl|NC_014218.1_cds_WP_013170398.1_1177	lcl|NZ_CP053291.1_cds_WP_193327315.1_665	76.754	1140	238	21	385	1518	349	1467	1.36e-175	612	1518	75	1467
lcl|NC_014218.1_cds_WP_013170014.1_1180	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.905	822	9	0	1	822	58	879	0.0	1469	822	100	879
lcl|NC_014218.1_cds_WP_013170408.1_1188	lcl|NZ_CP053291.1_cds_WP_193325989.1_1183	83.718	737	110	9	163	894	505	1236	0.0	688	894	82	1236
lcl|NC_014218.1_cds_WP_013170484.1_1266	lcl|NZ_CP053291.1_cds_WP_193327186.1_523	77.143	980	218	6	17	993	11	987	2.51e-161	564	996	98	993
lcl|NC_014218.1_cds_WP_013170510.1_1292	lcl|NZ_CP053291.1_cds_WP_193327169.1_505	75.661	756	168	15	206	953	206	953	1.16e-100	363	1173	64	1173
lcl|NC_014218.1_cds_WP_013170517.1_1299	lcl|NZ_CP053291.1_cds_WP_193327331.1_683	78.801	467	99	0	96	562	96	562	1.56e-86	315	564	83	564
lcl|NC_014218.1_cds_WP_013170523.1_1307	lcl|NZ_CP053291.1_cds_WP_193327148.1_481	80.249	724	141	2	1	723	1	723	2.43e-155	544	744	97	744
lcl|NC_014218.1_cds_WP_013170524.1_1308	lcl|NZ_CP053291.1_cds_WP_193327147.1_480	80.738	1978	367	13	1	1971	1	1971	0.0	1530	1971	100	1971
lcl|NC_014218.1_cds_WP_013170541.1_1324	lcl|NZ_CP053291.1_cds_WP_193327123.1_449	80.382	994	191	4	1	992	1	992	0.0	752	1005	99	999
lcl|NC_014218.1_cds_WP_013170544.1_1327	lcl|NZ_CP053291.1_cds_WP_013170544.1_446	90.179	112	11	0	1	112	1	112	1.06e-36	147	114	98	114
lcl|NC_014218.1_cds_WP_013170545.1_1328	lcl|NZ_CP053291.1_cds_WP_024964445.1_445	82.063	223	38	2	1	222	1	222	3.67e-49	189	222	100	222
lcl|NC_014218.1_cds_WP_013170564.1_1347	lcl|NZ_CP053291.1_cds_WP_193327115.1_437	81.361	617	113	2	91	706	76	691	1.41e-142	501	708	87	693
lcl|NC_014218.1_cds_WP_013170567.1_1350	lcl|NZ_CP053291.1_cds_WP_193327112.1_434	87.688	398	49	0	1	398	1	398	1.02e-131	464	399	99	399
lcl|NC_014218.1_cds_WP_013170578.1_1361	lcl|NZ_CP053291.1_cds_WP_193327105.1_423	84.034	833	129	4	1	831	1	831	0.0	798	837	99	840
lcl|NC_014218.1_cds_WP_013170579.1_1362	lcl|NZ_CP053291.1_cds_WP_193327104.1_422	82.468	308	50	4	10	315	31	336	2.41e-72	267	315	97	336
lcl|NC_014218.1_cds_WP_013170581.1_1364	lcl|NZ_CP053291.1_cds_WP_193327102.1_420	79.627	643	121	9	30	667	24	661	3.78e-128	453	669	95	663
lcl|NC_014218.1_cds_WP_013170582.1_1365	lcl|NZ_CP053291.1_cds_WP_024963332.1_419	91.262	309	27	0	1	309	1	309	4.76e-119	422	309	100	309
lcl|NC_014218.1_cds_WP_013170583.1_1366	lcl|NZ_CP053291.1_cds_WP_193327100.1_417	86.745	1192	152	6	1	1189	1	1189	0.0	1321	1191	99	1191
lcl|NC_014218.1_cds_WP_013170584.1_1367	lcl|NZ_CP053291.1_cds_WP_255313920.1_416	79.468	2104	394	33	22	2106	22	2106	0.0	1458	2121	98	2121
lcl|NC_014218.1_cds_WP_013170588.1_1371	lcl|NZ_CP053291.1_cds_WP_193327096.1_412	78.422	3967	818	34	1	3951	1	3945	0.0	2549	3978	99	3975
lcl|NC_014218.1_cds_WP_013170589.1_1372	lcl|NZ_CP053291.1_cds_WP_193327095.1_411	78.801	3453	706	23	26	3465	26	3465	0.0	2298	3465	99	3465
lcl|NC_014218.1_cds_WP_013170591.1_1374	lcl|NZ_CP053291.1_cds_WP_193327093.1_409	76.424	509	110	9	7	510	7	510	4.11e-72	267	525	96	522
lcl|NC_014218.1_cds_WP_013169363.1_1382	lcl|NZ_CP053291.1_cds_WP_193326143.1_1346	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1382	lcl|NZ_CP053291.1_cds_WP_193326143.1_611	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1382	lcl|NZ_CP053291.1_cds_WP_193326143.1_303	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013170694.1_1478	lcl|NZ_CP053291.1_cds_WP_193326949.1_240	85.556	180	24	2	547	725	544	722	4.82e-48	187	759	24	756
lcl|NC_014218.1_cds_WP_013170705.1_1491	lcl|NZ_CP053291.1_cds_WP_193326931.1_218	79.428	1259	243	14	24	1274	24	1274	0.0	876	1281	98	1281
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193326468.1_1712	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193327356.1_713	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	897
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193326468.1_707	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193326468.1_329	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193326468.1_263	83.043	460	76	2	1	459	187	645	3.38e-117	416	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193326778.1_44	82.826	460	77	2	1	459	187	645	1.57e-115	411	462	99	882
lcl|NC_014218.1_cds_WP_138975065.1_1505	lcl|NZ_CP053291.1_cds_WP_193325986.1_1180	86.477	281	37	1	176	455	1	281	2.12e-84	307	462	61	522
lcl|NC_014218.1_cds_WP_081440792.1_1506	lcl|NZ_CP053291.1_cds_WP_193325984.1_1179	91.228	285	25	0	46	330	1	285	5.18e-109	388	330	86	285
lcl|NC_014218.1_cds_WP_231957980.1_1511	lcl|NZ_CP053291.1_cds_WP_193326343.1_1574	74.067	1072	250	23	1	1058	628	1685	4.49e-116	414	1653	64	2553
lcl|NC_014218.1_cds_WP_231957980.1_1511	lcl|NZ_CP053291.1_cds_WP_193326975.1_275	78.261	230	44	5	1043	1269	2066	2292	2.34e-34	143	1653	14	2685
lcl|NC_014218.1_cds_WP_223804387.1_1512	lcl|NZ_CP053291.1_cds_WP_193326975.1_275	76.960	421	90	5	7	423	184	601	3.33e-62	233	423	99	2685
lcl|NC_014218.1_cds_WP_223804387.1_1512	lcl|NZ_CP053291.1_cds_WP_193326343.1_1574	74.366	355	85	6	2	353	179	530	4.46e-36	147	423	83	2553
lcl|NC_014218.1_cds_WP_013170726.1_1516	lcl|NZ_CP053291.1_cds_WP_193326972.1_272	80.347	519	94	8	1	515	1	515	3.40e-108	387	588	88	597
lcl|NC_014218.1_cds_WP_013170727.1_1517	lcl|NZ_CP053291.1_cds_WP_193326971.1_271	91.884	345	28	0	1	345	1	345	2.42e-137	483	345	100	345
lcl|NC_014218.1_cds_WP_013170731.1_1521	lcl|NZ_CP053291.1_cds_267	94.374	551	31	0	1	551	1	551	0.0	846	1026	99	1222
lcl|NC_014218.1_cds_WP_013170731.1_1521	lcl|NZ_CP053291.1_cds_267	81.159	483	78	11	542	1017	737	1213	1.30e-104	375	1026	99	1222
lcl|NC_014218.1_cds_WP_013170731.1_1521	lcl|NZ_CP053291.1_cds_WP_193326335.1_1566	83.063	555	86	8	1	551	1	551	2.67e-141	497	1026	54	1218
lcl|NC_014218.1_cds_WP_013170732.1_1522	lcl|NZ_CP053291.1_cds_WP_193326967.1_266	90.307	815	72	7	1	813	1	810	0.0	1061	834	97	837
lcl|NC_014218.1_cds_WP_013170733.1_1523	lcl|NZ_CP053291.1_cds_WP_193326333.1_1564	81.497	1162	204	10	69	1226	66	1220	0.0	944	1311	88	1317
lcl|NC_014218.1_cds_WP_013170738.1_1528	lcl|NZ_CP053291.1_cds_WP_193326964.1_260	90.476	1533	138	7	1	1529	1	1529	0.0	2015	1599	96	1599
lcl|NC_014218.1_cds_WP_013170738.1_1528	lcl|NZ_CP053291.1_cds_WP_193326332.1_1563	85.325	1540	224	2	1	1539	1	1539	0.0	1591	1599	96	1599
lcl|NC_014218.1_cds_WP_013170744.1_1535	lcl|NZ_CP053291.1_cds_WP_193326331.1_1562	90.753	292	25	2	1	291	1	291	4.53e-109	388	291	100	291
lcl|NC_014218.1_cds_WP_013170744.1_1535	lcl|NZ_CP053291.1_cds_WP_193326963.1_259	88.316	291	34	0	1	291	1	291	2.14e-97	350	291	100	291
lcl|NC_014218.1_cds_WP_013170746.1_1538	lcl|NZ_CP053291.1_cds_WP_005295562.1_257	100.000	51	0	0	1	51	1	51	6.53e-21	95.3	180	28	198
lcl|NC_014218.1_cds_WP_013170747.1_1539	lcl|NZ_CP053291.1_cds_WP_193326329.1_1560	94.577	627	34	0	1	627	1	627	0.0	970	651	96	672
lcl|NC_014218.1_cds_WP_013170747.1_1539	lcl|NZ_CP053291.1_cds_WP_255313913.1_256	93.290	462	31	0	184	645	1	462	0.0	682	651	71	474
lcl|NC_014218.1_cds_WP_013170748.1_1540	lcl|NZ_CP053291.1_cds_WP_193326328.1_1559	95.161	186	9	0	1	186	1	186	6.22e-81	294	186	100	186
lcl|NC_014218.1_cds_1541	lcl|NZ_CP053291.1_cds_WP_193326327.1_1558	87.152	1043	126	4	1	1040	214	1251	0.0	1177	1040	100	1251
lcl|NC_014218.1_cds_WP_013170014.1_1543	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_1549	lcl|NZ_CP053291.1_cds_WP_255313917.1_285	96.327	245	9	0	1	245	163	407	1.35e-113	403	246	99	1389
lcl|NC_014218.1_cds_1549	lcl|NZ_CP053291.1_cds_WP_193327784.1_1581	84.959	246	37	0	1	246	211	456	1.86e-67	250	246	100	1437
lcl|NC_014218.1_cds_WP_261974479.1_1550	lcl|NZ_CP053291.1_cds_WP_255313917.1_285	94.407	894	50	0	1	894	496	1389	0.0	1375	894	100	1389
lcl|NC_014218.1_cds_WP_261974479.1_1550	lcl|NZ_CP053291.1_cds_WP_193327784.1_1581	77.193	912	172	28	1	894	544	1437	6.44e-142	499	894	100	1437
lcl|NC_014218.1_cds_WP_013170755.1_1551	lcl|NZ_CP053291.1_cds_286	77.535	1144	211	34	1	1120	1	1122	0.0	647	1677	67	1589
lcl|NC_014218.1_cds_WP_013170755.1_1551	lcl|NZ_CP053291.1_cds_WP_193326350.1_1582	77.909	928	174	24	1	911	1	914	1.20e-156	549	1677	54	1602
lcl|NC_014218.1_cds_WP_013170806.1_1603	lcl|NZ_CP053291.1_cds_WP_193326832.1_104	79.772	1577	301	15	1	1568	1	1568	0.0	1129	1623	97	1623
lcl|NC_014218.1_cds_WP_013170014.1_1620	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_WP_231957975.1_1631	lcl|NZ_CP053291.1_cds_WP_193326799.1_70	91.489	47	4	0	502	548	463	509	4.42e-11	65.8	1407	3	1362
lcl|NC_014218.1_cds_WP_013170906.1_1706	lcl|NZ_CP053291.1_cds_WP_193326726.1_2001	75.331	831	191	14	64	887	124	947	1.40e-107	387	2361	35	2445
lcl|NC_014218.1_cds_WP_013170907.1_1707	lcl|NZ_CP053291.1_cds_WP_193327819.1_2000	73.518	1333	301	40	13	1319	13	1319	1.84e-129	459	1494	87	1494
lcl|NC_014218.1_cds_WP_049765867.1_1712	lcl|NZ_CP053291.1_cds_WP_193326724.1_1998	80.328	244	42	6	150	390	144	384	4.76e-46	180	456	53	450
lcl|NC_014218.1_cds_WP_013170938.1_1736	lcl|NZ_CP053291.1_cds_WP_193326714.1_1986	72.218	1267	298	40	211	1461	226	1454	7.34e-94	340	1572	80	1572
lcl|NC_014218.1_cds_WP_013170014.1_1746	lcl|NZ_CP053291.1_cds_WP_255313958.1_1178	98.783	822	10	0	1	822	58	879	0.0	1463	822	100	879
lcl|NC_014218.1_cds_WP_013170962.1_1765	lcl|NZ_CP053291.1_cds_WP_038101734.1_1931	84.906	212	32	0	4	215	7	218	6.51e-57	215	237	89	240
lcl|NC_014218.1_cds_WP_013170963.1_1766	lcl|NZ_CP053291.1_cds_WP_193326662.1_1930	82.857	350	60	0	1	350	1	350	1.46e-86	315	528	66	546
lcl|NC_014218.1_cds_WP_013170964.1_1767	lcl|NZ_CP053291.1_cds_WP_193326661.1_1929	81.754	285	50	2	1	284	1	284	1.83e-63	237	306	93	309
lcl|NC_014218.1_cds_WP_013169363.1_1780	lcl|NZ_CP053291.1_cds_WP_193326143.1_1346	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1780	lcl|NZ_CP053291.1_cds_WP_193326143.1_611	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
lcl|NC_014218.1_cds_WP_013169363.1_1780	lcl|NZ_CP053291.1_cds_WP_193326143.1_303	70.939	1022	249	38	175	1172	175	1172	3.55e-51	198	1200	83	1200
